delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,missing_proof,delivery_duration_hours
dl00026,o00906,d092,v055,h04,04/02/2025 11:16,48:45.8,failed,14.27,2,FALSE,2.23,10.04,0,38.55
dl00027,o00827,d057,v054,h02,01/01/2024 03:20,13:30.9,ontime,13.27,0,FALSE,4.15,9.05,0,20.89
dl00028,o00087,d165,v022,h08,12/11/2024 15:52,15:00.4,delayed,15.53,2,FALSE,2.7,13.05,0,12.38
dl00029,o00723,d126,v086,h07,15/05/2024 06:49,38:00.0,ontime,9.43,1,FALSE,3.72,8.72,0,-2.18
dl00030,o00780,d034,v068,h03,16/06/2024 18:57,22:12.5,ontime,7.71,1,FALSE,4.1,16.42,0,0.42
dl00031,o00830,d037,v061,h01,23/07/2025 23:32,21:38.2,ontime,12.06,0,FALSE,4.1,14.98,0,-0.17
dl00032,o00010,d045,v010,h08,29/01/2025 02:58,57:46.3,ontime,15.58,1,FALSE,4.23,13.75,0,3
dl00033,o00885,d041,v075,h06,17/11/2024 14:01,51:25.2,failed,11.72,0,TRUE,4.13,18.12,1,40.84
dl00034,o01081,d157,v110,h04,18/06/2025 12:01,14:57.1,delayed,14.68,0,FALSE,4.4,9.44,0,17.23
dl00035,o00275,d015,v038,h07,21/05/2025 21:35,56:14.9,ontime,22.05,0,FALSE,4.96,14.78,0,4.35
dl00036,o00652,d158,v106,h06,08/11/2024 22:14,09:13.0,ontime,15.77,1,FALSE,4.35,13.68,0,5.92
dl00037,o00185,d010,v113,h05,15/05/2025 02:24,10:07.7,ontime,23.49,1,FALSE,4.21,11.21,0,23.77
dl00038,o00727,d096,v002,h02,26/10/2025 15:31,43:11.5,failed,8.82,2,FALSE,3.43,13.21,0,1.2
dl00039,o00542,d090,v034,h08,26/07/2025 15:58,22:45.7,failed,17.13,1,FALSE,2.51,16.3,0,12.41
dl00040,o00919,d027,v036,h04,01/02/2025 08:38,04:35.3,failed,9.53,1,FALSE,1.68,11.11,0,19.44
dl00041,o00750,d100,v057,h08,01/02/2024 08:58,53:37.4,failed,15.88,3,TRUE,2.94,13.19,1,10.93
dl00042,o00009,d146,v020,h01,04/10/2024 01:05,49:54.3,ontime,12.02,0,FALSE,4.45,11.41,0,9.75
dl00043,o00453,d110,v039,h07,04/12/2024 15:46,31:28.6,ontime,11.94,0,FALSE,4.24,11.81,0,4.76
dl00044,o00147,d049,v020,h01,12/07/2024 09:47,20:42.9,ontime,4.63,0,FALSE,4.34,12.87,0,2.56
dl00045,o00924,d157,v051,h08,07/11/2025 00:32,03:01.6,ontime,10.61,1,FALSE,5,14.13,0,20.52
dl00046,o00101,d088,v046,h05,30/10/2025 07:35,59:41.4,ontime,5.53,2,FALSE,3.09,11.27,0,23.41
dl00047,o00263,d045,v091,h06,19/02/2024 04:07,46:04.7,ontime,16.33,0,FALSE,5,10.25,0,-0.35
dl00048,o00358,d045,v093,h05,20/03/2024 13:40,11:50.9,delayed,7.37,0,FALSE,3.33,14.67,0,4.53
dl00049,o01076,d091,v018,h02,29/09/2024 01:23,46:30.3,ontime,12.55,0,FALSE,3.52,6.93,0,6.39
dl00050,o00534,d065,v046,h06,05/09/2025 05:03,24:00.0,ontime,26.85,0,FALSE,5,14.34,0,-1.65
dl00051,o00785,d150,v055,h07,31/12/2025 17:27,05:52.4,ontime,8.02,0,FALSE,4.31,14.59,0,0.65
dl00052,o00554,d168,v020,h08,06/05/2025 10:37,57:25.3,delayed,26.380000000000003,1,TRUE,2.52,24.54,1,10.34
dl00053,o00302,d018,v099,h01,10/07/2025 18:38,06:29.6,ontime,14.14,0,FALSE,3.63,10.32,0,22.47
dl00054,o01044,d117,v079,h01,14/02/2025 07:41,37:54.2,delayed,29.8,1,FALSE,4.7,22.28,0,12.95
dl00055,o00819,d069,v018,h04,28/04/2025 21:37,45:04.6,delayed,35.07,5,TRUE,2.78,22.2,1,7.13
dl00056,o00698,d137,v081,h08,22/10/2024 21:45,00:19.3,ontime,13.46,2,FALSE,4.01,6.52,0,0.26
dl00057,o00921,d141,v077,h04,09/12/2024 10:53,18:39.8,failed,10.91,0,FALSE,1.22,6.59,0,9.43
dl00058,o01062,d125,v082,h02,26/10/2024 18:46,22:57.9,ontime,15.33,0,FALSE,5,7.95,0,3.62
dl00059,o00521,d027,v088,h05,26/11/2025 14:07,49:47.4,delayed,36.28,3,FALSE,3.11,17.45,0,4.71
dl00061,o00635,d083,v059,h08,06/12/2024 06:18,02:21.5,ontime,10.51,1,FALSE,3.8,10.6,0,-1.26
dl00062,o00567,d061,v007,h02,24/02/2024 16:31,31:54.3,ontime,1.2,0,FALSE,5,7.32,0,23.02
dl00063,o00931,d154,v094,h03,07/03/2024 11:20,02:37.9,ontime,15.95,0,FALSE,5,14.6,0,3.71
dl00064,o01236,d075,v004,h03,30/05/2025 00:35,36:22.9,delayed,10.36,0,FALSE,2.34,7.13,0,23.02
dl00065,o01234,d050,v065,h01,24/02/2024 01:55,52:27.1,ontime,1.67,1,FALSE,4.63,6.2,0,-0.04
dl00066,o00568,d118,v083,h01,19/12/2025 20:41,15:32.8,ontime,22.39,0,FALSE,4.03,18.25,0,3.58
dl00067,o00842,d152,v023,h01,04/07/2025 04:43,29:14.6,ontime,12.34,1,FALSE,4.61,11.04,0,9.77
dl00068,o00828,d104,v046,h08,19/02/2024 15:15,47:37.3,failed,19.75,1,FALSE,3.73,16.14,0,36.54
dl00069,o01039,d010,v074,h07,01/05/2025 11:46,43:03.2,failed,16.76,1,FALSE,4.17,10.73,0,7.95
dl00070,o00370,d018,v036,h07,21/11/2024 18:37,57:39.4,ontime,16.35,0,FALSE,4.64,18.11,0,3.34
dl00071,o00796,d093,v080,h02,28/01/2025 06:57,41:12.0,delayed,20.37,1,FALSE,3.57,18.14,0,15.74
dl00072,o00402,d110,v027,h05,20/11/2025 06:20,21:38.6,delayed,28.51,0,FALSE,3.28,15.11,0,13.03
dl00073,o00421,d141,v092,h08,23/07/2025 07:06,47:40.5,ontime,19.34,3,FALSE,4.68,17.54,0,22.69
dl00074,o01195,d030,v092,h04,04/01/2025 08:41,01:18.8,failed,17.61,1,FALSE,4.42,14.79,0,15.34
dl00075,o01239,d169,v047,h02,06/08/2024 04:24,22:04.3,ontime,13.25,3,FALSE,3.24,11.94,0,0.97
dl00076,o00815,d120,v004,h01,25/02/2024 17:02,44:41.6,ontime,27.51,3,FALSE,5,15.16,0,24.71
dl00077,o01040,d094,v067,h04,27/12/2025 22:16,51:46.0,delayed,32.97,3,FALSE,2.81,18.07,0,13.6
dl00078,o00173,d144,v088,h02,18/02/2025 08:26,34:49.2,failed,10.92,1,FALSE,2.87,9.05,0,19.15
dl00079,o00920,d009,v102,h08,01/08/2024 12:06,56:00.6,ontime,7.18,0,FALSE,4.91,12.79,0,11.83
dl00080,o01137,d030,v022,h04,14/10/2025 08:21,32:00.0,ontime,16.29,0,FALSE,4.42,14.17,0,0.18
dl00081,o00716,d166,v056,h04,22/10/2024 06:38,18:42.6,delayed,9.77,1,TRUE,3.58,12.68,1,12.68
dl00082,o00669,d008,v048,h03,15/07/2025 15:38,44:17.5,ontime,3.98,1,FALSE,4.76,5.86,0,9.1
dl00083,o00451,d053,v043,h05,15/02/2025 18:28,33:28.4,delayed,2.13,0,FALSE,1.44,11.27,0,19.09
dl00084,o00784,d063,v117,h05,07/03/2025 03:24,43:35.3,failed,6.83,0,FALSE,3.63,9.07,0,28.33
dl00086,o01013,d159,v063,h02,22/08/2025 17:32,39:11.3,ontime,17.4,0,FALSE,3.75,12.23,0,2.12
dl00087,o00630,d034,v099,h07,28/03/2025 15:08,28:40.0,ontime,17.98,0,FALSE,4.11,13.23,0,0.34
dl00088,o00657,d088,v043,h04,28/02/2024 23:43,16:11.4,ontime,5.99,0,FALSE,4.43,2.5,0,3.55
dl00089,o00241,d010,v112,h03,01/04/2025 15:27,28:34.3,failed,8.27,0,FALSE,2.56,6.94,0,5.03
dl00090,o01097,d027,v065,h04,14/07/2024 23:21,00:31.8,ontime,33.86,3,FALSE,4.76,24.2,0,9.66
dl00091,o00941,d116,v044,h04,12/08/2024 15:04,48:31.8,ontime,14.47,0,FALSE,5,10.57,0,-0.26
dl00092,o00736,d105,v016,h01,25/01/2024 00:39,47:51.4,ontime,7.66,1,FALSE,4.72,8.17,0,10.15
dl00093,o00579,d028,v032,h05,05/09/2025 12:14,49:10.4,ontime,19.68,3,FALSE,3.69,18.64,0,0.59
dl00094,o01026,d034,v012,h04,26/05/2025 22:56,41:42.0,delayed,4.66,0,FALSE,3.72,16.6,0,10.76
dl00095,o00416,d031,v005,h08,07/01/2024 23:00,37:11.6,ontime,28.69,1,FALSE,5,13.48,0,-1.38
dl00097,o00794,d170,v109,h07,16/07/2024 22:51,52:17.4,failed,10.54,1,FALSE,3.58,3.56,0,27.02
dl00098,o00631,d004,v072,h07,05/07/2025 09:16,47:44.2,failed,3.86,1,FALSE,4.43,15.58,0,6.53
dl00099,o00835,d127,v093,h01,26/05/2024 18:57,53:38.9,ontime,5.6,2,FALSE,4.75,13.26,0,2.94
dl00100,o00205,d120,v097,h05,05/02/2025 16:42,09:53.7,failed,8.64,0,FALSE,3.14,13.47,0,14.46
dl00101,o00354,d141,v115,h06,02/12/2025 18:06,18:47.0,ontime,21.63,0,FALSE,4.12,14.3,0,1.21
dl00102,o00578,d031,v022,h02,04/03/2024 09:56,51:57.8,delayed,9.18,0,FALSE,3.08,11.31,0,3.93
dl00103,o00269,d004,v036,h04,01/12/2024 01:20,58:15.9,failed,6.26,2,FALSE,2.24,9.31,0,20.64
dl00104,o00390,d102,v111,h06,06/03/2024 12:50,08:19.1,ontime,8.75,0,FALSE,4.45,7.5,0,7.31
dl00105,o00596,d020,v043,h01,02/10/2025 04:09,54:51.6,ontime,18.52,0,FALSE,3.73,20.45,0,6.76
dl00106,o00039,d040,v015,h05,01/08/2025 08:30,18:45.0,ontime,18.02,0,FALSE,4.92,15.57,0,3.81
dl00107,o00175,d120,v074,h05,19/12/2025 20:22,26:01.8,ontime,6.47,1,FALSE,4.69,8.8,0,1.07
dl00108,o00620,d084,v009,h06,08/11/2024 01:38,02:54.8,ontime,13.73,1,FALSE,4.73,17.52,0,1.42
dl00109,o00019,d014,v083,h05,31/03/2024 09:02,20:28.9,ontime,16.7,1,FALSE,3.52,16.91,0,3.31
dl00110,o00045,d024,v042,h03,13/02/2024 21:24,15:37.4,ontime,14.39,1,FALSE,4.74,8.64,0,3.86
dl00111,o00105,d081,v090,h06,09/07/2024 23:17,43:25.1,ontime,18.8,0,FALSE,5,20.02,0,-0.56
dl00112,o00848,d068,v049,h05,03/06/2025 14:51,37:51.7,ontime,10.88,3,FALSE,3.68,8.03,0,5.78
dl00113,o00607,d072,v083,h05,30/08/2025 19:15,58:56.0,ontime,7.42,0,FALSE,2.94,15.7,0,11.73
dl00114,o01196,d074,v114,h02,12/04/2024 03:31,47:55.7,delayed,16.99,0,FALSE,2.62,19.44,0,17.28
dl00115,o01132,d030,v116,h04,04/05/2025 01:04,53:19.4,ontime,18.75,1,FALSE,4.35,8.08,0,0.82
dl00116,o00121,d023,v047,h06,14/10/2025 13:45,06:51.7,delayed,19.9,0,FALSE,2.92,21.64,0,18.36
dl00117,o00559,d080,v119,h06,24/04/2025 08:49,39:56.7,delayed,11.84,0,TRUE,2.46,17.91,1,14.85
dl00118,o00660,d143,v004,h01,05/06/2024 01:27,05:09.7,failed,11.45,3,FALSE,2.16,8.94,0,14.64
dl00119,o01011,d076,v037,h03,28/02/2024 07:57,55:52.4,failed,32.37,3,FALSE,1.71,25.09,0,30.98
dl00120,o00007,d128,v047,h06,05/05/2024 22:10,05:17.6,delayed,9.07,1,TRUE,3.93,9.76,1,8.92
dl00121,o00091,d078,v100,h05,14/03/2024 02:36,52:56.8,ontime,18.81,0,FALSE,3.92,11.62,0,7.28
dl00122,o00434,d122,v092,h01,25/10/2025 21:25,15:00.0,ontime,29.52,4,FALSE,4.63,10.56,0,-1.17
dl00123,o00284,d030,v025,h04,02/04/2024 13:26,11:28.2,ontime,13.45,2,FALSE,4.75,12.86,0,19.76
dl00124,o00210,d113,v040,h05,14/05/2024 20:07,02:59.1,ontime,14.23,2,FALSE,4.78,19.49,0,3.93
dl00125,o00472,d021,v109,h05,22/02/2024 10:05,39:44.1,ontime,14.25,3,FALSE,3.68,12.59,0,2.58
dl00126,o00547,d159,v001,h07,09/04/2024 14:36,11:28.1,delayed,17.68,0,FALSE,2.6,10.92,0,28.59
dl00127,o01072,d026,v099,h02,05/10/2024 00:19,08:10.1,delayed,16.56,2,FALSE,2.12,11.9,0,17.82
dl00128,o00868,d089,v099,h07,18/05/2024 16:31,54:46.9,ontime,9.43,0,FALSE,4.47,10.47,0,2.4
dl00129,o00425,d030,v078,h08,27/11/2024 08:41,07:10.3,ontime,21.27,3,FALSE,5,11.59,0,3.44
dl00130,o00400,d113,v042,h03,20/06/2025 08:41,30:11.0,ontime,17.1,0,FALSE,3.87,13.53,0,3.82
dl00131,o00890,d037,v096,h07,05/07/2025 10:26,48:04.9,ontime,16.59,0,FALSE,4.33,3.25,0,22.37
dl00132,o00688,d058,v061,h03,25/04/2024 08:29,02:10.1,ontime,19.79,0,FALSE,4.62,5.66,0,7.55
dl00133,o00761,d083,v070,h03,12/08/2025 05:33,33:17.8,ontime,17.73,1,FALSE,3.29,10.88,0,12
dl00134,o00334,d135,v071,h03,23/05/2024 12:01,46:57.1,ontime,13.27,0,FALSE,3.88,7.63,0,2.77
dl00135,o00225,d069,v075,h03,28/07/2025 04:31,14:21.6,failed,10.34,2,FALSE,3.6,9.3,0,20.72
dl00136,o00527,d032,v106,h06,05/04/2024 06:41,08:14.2,ontime,4.06,1,FALSE,4.45,5.7,0,4.45
dl00137,o01216,d053,v109,h07,28/08/2025 20:12,36:59.0,delayed,13.46,2,FALSE,2.72,11.11,0,4.42
dl00138,o00705,d019,v071,h04,09/09/2025 22:58,00:03.4,ontime,11.23,2,FALSE,4.75,15.22,0,6.03
dl00139,o01215,d140,v084,h05,05/08/2025 03:23,37:39.1,ontime,12.23,0,FALSE,3.57,13.59,0,9.24
dl00140,o00656,d079,v050,h06,08/01/2025 00:27,59:38.1,delayed,15.69,0,TRUE,2.23,11.96,1,8.54
dl00141,o00021,d166,v094,h04,16/10/2024 12:41,59:34.2,ontime,10.45,1,FALSE,4.77,7.89,0,0.31
dl00142,o00612,d158,v016,h08,19/05/2025 20:32,33:52.0,ontime,4.04,2,FALSE,3.27,15.78,0,4.03
dl00143,o00757,d026,v051,h04,22/02/2025 08:56,28:42.0,delayed,22.37,0,FALSE,3.64,19.33,0,16.54
dl00144,o00170,d016,v016,h06,24/06/2024 09:02,42:51.2,ontime,25.98,4,FALSE,4.84,27.38,0,2.68
dl00145,o00668,d155,v081,h06,11/07/2025 00:42,33:45.6,ontime,29.37,2,FALSE,3.95,18.72,0,4.86
dl00146,o00058,d052,v094,h03,16/12/2025 06:56,52:51.3,ontime,22.04,0,FALSE,4.37,6.16,0,2.95
dl00147,o01116,d123,v017,h06,13/11/2024 14:46,29:47.1,ontime,1.21,1,FALSE,4.08,14.96,0,4.73
dl00148,o00817,d087,v120,h05,31/12/2025 09:02,10:07.3,ontime,16.75,1,FALSE,4.04,15.84,0,2.14
dl00149,o00789,d024,v099,h08,11/12/2024 13:03,56:25.0,ontime,5.74,2,FALSE,3.83,3.72,0,4.89
dl00150,o01164,d083,v042,h07,09/06/2025 18:46,04:10.9,delayed,10.43,0,FALSE,2.83,10.61,0,12.3
dl00151,o00376,d131,v048,h03,21/01/2025 09:34,14:52.4,ontime,12.77,1,FALSE,4.77,10.12,0,9.68
dl00152,o00146,d121,v047,h01,10/10/2025 01:22,11:11.3,ontime,3.02,0,FALSE,4.71,8.34,0,11.82
dl00153,o00893,d115,v007,h01,05/08/2024 08:55,10:16.1,failed,12.85,1,FALSE,3.96,15.21,0,17.25
dl00154,o00071,d018,v110,h08,01/09/2024 00:47,07:26.3,failed,7.04,1,FALSE,4.2,5.23,0,1.34
dl00155,o00061,d048,v052,h02,12/07/2024 03:31,43:58.7,ontime,24.74,1,FALSE,4.46,18.46,0,5.22
dl00156,o01086,d100,v085,h08,05/03/2024 21:40,03:18.7,delayed,31.74,2,FALSE,2.18,17.62,0,12.39
dl00157,o01089,d144,v040,h06,18/05/2025 05:27,03:36.6,ontime,12.43,2,FALSE,5,13.52,0,2.61
dl00158,o00643,d031,v072,h08,10/04/2025 19:05,26:34.0,delayed,29.34,3,FALSE,3.8,15.45,0,5.36
dl00159,o00213,d120,v020,h05,05/12/2024 20:07,13:18.7,ontime,11.73,0,FALSE,5,21.25,0,12.11
dl00160,o00874,d108,v085,h04,15/06/2024 16:06,00:31.8,ontime,16.67,1,FALSE,5,9.13,0,4.91
dl00161,o00624,d055,v098,h01,13/04/2025 04:37,10:40.3,ontime,16.98,0,FALSE,4.28,11.8,0,24.56
dl00162,o00854,d122,v071,h02,01/09/2024 04:30,10:42.0,ontime,25.94,0,FALSE,4.84,11.4,0,5.68
dl00163,o01007,d121,v056,h07,24/09/2024 08:50,30:25.9,delayed,9.31,0,FALSE,2.51,8.76,0,24.67
dl00164,o00066,d045,v120,h03,21/06/2024 11:36,46:30.9,ontime,17.31,0,FALSE,3.9,17.53,0,3.18
dl00165,o00852,d006,v022,h03,13/07/2025 18:06,22:13.7,delayed,8.64,0,TRUE,4.55,2.5,1,10.27
dl00166,o00904,d091,v017,h04,25/05/2024 20:26,51:28.1,failed,24.07,0,FALSE,2.08,13.51,0,14.42
dl00167,o00932,d116,v069,h08,01/10/2024 07:37,14:50.1,failed,19.44,0,FALSE,2.56,13.3,0,11.63
dl00168,o00126,d100,v066,h01,26/05/2024 09:29,28:20.2,delayed,30.51,2,FALSE,4.3,18.34,0,17.99
dl00169,o00996,d037,v115,h07,26/04/2025 07:29,46:10.1,ontime,10.5,2,FALSE,4.08,10.38,0,0.29
dl00170,o00363,d020,v093,h04,04/06/2025 03:57,40:45.8,ontime,10.59,0,FALSE,4.07,10.74,0,1.73
dl00171,o01055,d096,v085,h07,13/08/2025 19:47,52:05.5,ontime,23.42,1,FALSE,4.35,13.6,0,4.08
dl00172,o00127,d132,v106,h06,08/11/2025 04:29,24:08.2,delayed,13.58,2,TRUE,4.36,11.2,1,11.92
dl00173,o00459,d131,v026,h08,28/11/2025 08:52,17:47.3,delayed,15.37,0,FALSE,3.88,6.1,0,30.43
dl00174,o00162,d020,v066,h07,14/12/2025 04:21,45:39.0,ontime,9.9,2,FALSE,4.18,9.86,0,10.41
dl00175,o00583,d036,v118,h03,17/04/2025 21:40,57:45.6,ontime,15.62,1,FALSE,3.93,9.26,0,3.3
dl00176,o01200,d061,v116,h05,23/02/2024 08:31,20:44.3,ontime,16.02,0,FALSE,4.36,16.67,0,4.83
dl00177,o00164,d123,v045,h01,23/03/2024 14:11,34:32.6,ontime,8.31,0,FALSE,4.85,9.58,0,21.39
dl00178,o01166,d024,v052,h05,22/09/2025 12:46,06:17.6,failed,13.01,2,TRUE,3.36,6.79,1,9.34
dl00179,o00493,d016,v094,h08,20/05/2024 04:07,35:01.1,delayed,9.15,1,FALSE,2.32,12.14,0,15.47
dl00180,o00137,d135,v054,h08,14/03/2025 19:37,15:52.9,ontime,19.65,0,FALSE,4.25,14.94,0,10.65
dl00181,o00450,d073,v014,h02,25/08/2024 23:47,58:43.0,ontime,12.74,1,FALSE,5,14.37,0,0.2
dl00182,o00096,d071,v102,h04,13/07/2024 18:06,46:16.6,ontime,7.62,0,FALSE,4.64,14.41,0,0.67
dl00183,o00808,d049,v065,h05,06/09/2024 07:26,08:53.7,ontime,15.14,0,FALSE,4.23,13.23,0,4.71
dl00184,o01005,d023,v096,h07,01/05/2025 19:42,37:43.4,failed,13.78,0,FALSE,2.96,13.86,0,30.93
dl00185,o01217,d008,v065,h01,26/01/2024 00:13,26:56.5,ontime,15.39,3,FALSE,4.76,13.61,0,11.23
dl00186,o00798,d006,v081,h06,14/01/2024 04:23,07:14.8,ontime,14.26,1,FALSE,4.91,4.79,0,2.74
dl00187,o00439,d111,v069,h05,05/03/2024 22:08,17:27.9,failed,17.61,1,FALSE,1.53,16.92,0,17.16
dl00188,o00739,d008,v075,h08,13/04/2025 23:14,05:27.4,ontime,5.37,0,FALSE,5,5.73,0,9.86
dl00189,o01227,d011,v118,h06,05/11/2024 11:52,23:23.1,failed,14.51,1,FALSE,2.43,12.83,0,6.52
dl00190,o00875,d039,v003,h07,31/10/2025 23:21,44:27.2,ontime,2.25,0,FALSE,4.79,7.74,0,9.39
dl00191,o00755,d161,v006,h08,21/08/2025 05:02,04:57.2,ontime,13.55,0,FALSE,3.48,21.6,0,7.05
dl00192,o00118,d095,v112,h04,18/08/2025 22:16,23:10.6,ontime,14.13,0,FALSE,4.64,16.49,0,5.12
dl00193,o00032,d017,v013,h08,16/09/2025 00:28,38:00.0,ontime,14.01,4,FALSE,3.54,9.08,0,-0.83
dl00194,o00422,d053,v110,h01,07/08/2025 09:57,44:40.5,delayed,8.77,2,FALSE,2.58,9.97,0,12.79
dl00195,o00462,d162,v028,h06,03/03/2025 20:56,39:20.2,delayed,13,1,FALSE,1.04,10.71,0,10.72
dl00196,o00469,d111,v009,h08,19/09/2024 00:27,29:59.9,ontime,13.83,1,FALSE,3.85,12.41,0,0.05
dl00197,o00478,d163,v053,h02,21/04/2025 00:07,03:50.9,ontime,11.17,0,FALSE,5,2.84,0,0.95
dl00198,o00465,d156,v111,h04,08/12/2024 07:33,46:07.6,delayed,8.01,0,FALSE,3.38,10.98,0,5.22
dl00199,o00821,d086,v088,h05,25/01/2025 03:15,28:34.4,ontime,24.31,1,FALSE,4.36,18.49,0,5.23
dl00200,o00406,d160,v106,h06,05/01/2025 13:23,10:14.8,ontime,31.46,2,FALSE,4.38,16.38,0,0.79
dl00201,o00008,d036,v041,h03,03/04/2024 20:22,46:56.6,ontime,14.08,0,FALSE,5,12.87,0,0.42
dl00202,o01057,d028,v054,h06,23/03/2025 12:38,02:58.6,delayed,19.31,2,FALSE,3.67,17.41,0,5.42
dl00203,o00901,d107,v086,h08,08/12/2025 09:18,36:10.6,delayed,9.36,2,FALSE,4.52,7.69,0,7.3
dl00204,o00025,d108,v062,h08,10/01/2025 22:15,19:27.7,ontime,11.32,1,FALSE,4.64,15.67,0,7.07
dl00205,o00375,d039,v024,h03,17/09/2024 23:26,13:34.4,ontime,7.16,3,FALSE,4.17,12.58,0,2.79
dl00206,o00634,d045,v107,h02,07/07/2024 14:19,45:48.0,ontime,17.47,1,FALSE,4.49,15.56,0,3.45
dl00207,o01035,d121,v114,h04,17/03/2024 00:24,31:20.5,ontime,18.52,1,FALSE,4.4,11.28,0,6.12
dl00208,o00964,d087,v018,h01,13/04/2024 03:27,30:31.5,failed,21.73,0,TRUE,3.09,13.36,1,19.06
dl00210,o01191,d142,v016,h02,19/02/2024 19:24,40:57.5,delayed,16.24,3,FALSE,3.43,13.43,0,4.28
dl00211,o01017,d102,v006,h08,30/12/2025 15:47,01:17.4,ontime,12.39,1,FALSE,4.57,13.18,0,3.24
dl00212,o01105,d142,v041,h01,18/06/2025 18:46,15:30.2,delayed,13.85,1,TRUE,4.29,11.45,1,23.49
dl00213,o00807,d025,v073,h02,16/10/2025 07:59,10:20.2,ontime,8.57,0,FALSE,4.33,10.42,0,2.19
dl00214,o00552,d096,v010,h04,09/11/2025 03:20,33:06.8,ontime,6.09,0,FALSE,3.02,7.3,0,3.22
dl00215,o01042,d100,v102,h06,26/08/2024 13:15,07:20.1,delayed,22,1,FALSE,4.79,19.64,0,18.87
dl00216,o00167,d146,v019,h07,27/04/2024 21:19,51:44.0,ontime,30.01,0,FALSE,3.37,18.54,0,22.55
dl00217,o01194,d020,v030,h01,08/08/2024 01:50,09:07.2,ontime,22.61,1,FALSE,4.41,12.17,0,-0.68
dl00218,o00136,d149,v010,h03,27/11/2024 17:12,54:50.9,delayed,3.51,1,FALSE,3.27,4.15,0,5.71
dl00219,o00513,d087,v118,h07,07/08/2024 05:33,00:38.6,ontime,14.41,1,FALSE,4.59,12.65,0,3.46
dl00220,o00859,d079,v107,h08,21/03/2024 03:17,59:51.0,ontime,33.71,4,FALSE,5,13.79,0,4.71
dl00221,o00594,d151,v092,h02,11/03/2024 21:43,58:44.2,ontime,12.09,3,FALSE,3.25,11.03,0,1.26
