order_id,customer_id,service_type,order_created_at,promised_window_hours,pickup_zone,dropoff_zone,priority_level,order_value,booking_channel,special_handling_flag
o00087,c0476,business,12/11/2024,4,south,north,critical,56.73,phone,FALSE
o00088,c0157,medical,14/06/2024,24,riverside,east,low,101.67,app,FALSE
o00089,c0339,medical,24/04/2025,6,south,north,high,52.58,web,TRUE
o00090,c0490,business,23/10/2024,4,riverside,south,medium,86.48,app,FALSE
o00091,c0564,parcel,14/03/2024,6,west,airport,critical,43.61,web,FALSE
o00092,c0268,retail,24/04/2025,6,south,east,medium,56.53,web,FALSE
o00093,c0083,business,05/12/2024,4,ctr,west,low,184.11,web,FALSE
o00094,c0361,parcel,27/09/2024,6,airport,north,medium,62.08,phone,FALSE
o00095,c0378,medical,15/05/2025,24,south,north,low,103.06,app,FALSE
o00096,c0441,business,13/07/2024,2,north,west,critical,153.48,web,FALSE
o00097,c0303,parcel,09/01/2024,24,airport,airport,medium,72.64,app,TRUE
o00098,c0586,passenger,03/04/2024,1,north,south,medium,79.53,phone,FALSE
o00099,c0079,retail,04/10/2025,12,airport,east,low,75.64,app,FALSE
o00100,c0300,passenger,30/10/2025,6,riverside,north,medium,23.64,web,FALSE
o00101,c0633,parcel,30/10/2025,24,west,west,low,42.02,app,FALSE
o00102,c0253,passenger,21/05/2024,2,central,north,high,146.42,app,FALSE
o00103,c0456,business,26/01/2024,12,south,west,low,77.37,app,FALSE
o00104,c0395,passenger,28/05/2024,4,east,central,medium,34.3,web,FALSE
o00105,c0070,passenger,09/07/2024,4,north,east,high,18.19,web,FALSE
o00106,c0065,business,29/11/2025,6,east,riverside,low,68.37,app,FALSE
o00107,c0205,medical,13/11/2024,2,riverside,ctr,low,182.35,app,FALSE
o00108,c0046,medical,30/11/2024,12,west,east,medium,70.18,app,FALSE
o00109,c0427,medical,24/10/2025,4,west,east,medium,9.68,app,FALSE
o00110,c0446,passenger,23/08/2024,4,central,south,low,72.23,app,FALSE
o00111,c0521,retail,18/07/2025,24,east,central,medium,52.06,web,FALSE
o00112,c0051,passenger,16/09/2024,2,central,west,medium,86.44,app,FALSE
o00113,c0640,business,12/02/2024,2,east,north,high,113.54,app,FALSE
o00114,c0144,business,05/10/2025,12,south,riverside,high,15.52,app,TRUE
o00115,c0157,passenger,21/02/2024,6,east,north,high,256.93,web,FALSE
o00116,c0452,passenger,09/03/2025,4,north,airport,low,56.59,app,FALSE
o00117,c0516,passenger,10/06/2024,12,east,south,medium,87.81,phone,FALSE
o00118,c0087,retail,18/08/2025,6,south,south,medium,74.68,app,FALSE
o00119,c0229,medical,25/05/2024,4,north,north,low,66.42,app,FALSE
o00120,c0182,passenger,16/06/2024,6,airport,north,medium,85.27,phone,TRUE
o00121,c0604,parcel,14/10/2025,6,east,north,medium,75.67,app,TRUE
o00122,c0597,medical,10/02/2024,1,riverside,north,medium,27.55,app,FALSE
o00123,c0649,retail,14/07/2024,2,west,east,high,21.55,app,FALSE
o00124,c0481,passenger,16/01/2025,24,central,airport,low,34.31,web,TRUE
o00125,c0191,retail,17/09/2025,24,west,south,medium,70.05,app,FALSE
o00126,c0146,parcel,26/05/2024,12,airport,south,medium,55.22,web,FALSE
o00127,c0572,parcel,08/11/2025,2,east,north,medium,171.31,app,FALSE
o00128,c0611,medical,28/12/2025,24,airport,airport,medium,136.66,app,FALSE
o00129,c0538,retail,12/12/2024,12,central,north,high,63.08,phone,FALSE
o00130,c0259,passenger,10/01/2024,6,central,airport,medium,77.97,app,FALSE
o00131,c0478,retail,29/06/2024,24,east,west,medium,14.11,app,FALSE
o00132,c0224,passenger,22/01/2025,2,ctr,central,medium,11.07,app,FALSE
o00133,c0365,passenger,29/03/2025,24,airport,north,medium,128.19,app,TRUE
o00134,c0010,parcel,22/12/2024,4,south,west,critical,23.34,app,FALSE
o00135,c0364,passenger,25/04/2025,24,riverside,north,low,118.96,app,FALSE
o00136,c0413,medical,27/11/2024,1,north,south,high,20.82,app,FALSE
o00137,c0295,parcel,14/03/2025,12,east,south,high,81.5,app,FALSE
o00138,c0149,business,02/10/2025,2,south,airport,medium,99.38,phone,FALSE
o00139,c0545,retail,15/09/2025,2,west,airport,high,4.22,web,FALSE
o00140,c0621,passenger,02/03/2024,4,north,north,low,89.5,app,FALSE
o00141,c0605,business,05/12/2024,1,north,south,high,83.09,web,FALSE
o00142,c0628,retail,31/10/2024,12,ctr,airport,high,83.93,app,FALSE
o00143,c0545,passenger,07/03/2025,24,ctr,central,medium,69.38,app,FALSE
o00144,c0063,business,03/11/2025,4,riverside,central,high,288.86,app,FALSE
o00145,c0595,business,02/11/2024,12,north,riverside,medium,35.95,app,FALSE
o00146,c0168,passenger,10/10/2025,12,east,south,medium,14.05,web,FALSE
o00147,c0096,retail,12/07/2024,6,north,west,critical,32.27,app,FALSE
o00148,c0401,medical,03/04/2025,2,east,east,high,86.3,phone,FALSE
o00149,c0289,business,30/05/2024,4,west,north,high,31.06,app,FALSE
o00150,c0246,business,15/01/2025,6,west,riverside,medium,136.44,web,FALSE
o00151,c0446,retail,02/03/2025,4,west,east,medium,179.57,web,FALSE
o00152,c0239,retail,03/09/2024,24,east,north,medium,139.65,web,FALSE
o00153,c0378,parcel,09/02/2025,24,north,airport,low,33.01,web,FALSE
o00154,c0535,business,20/08/2024,12,north,airport,low,105.88,web,TRUE
o00155,c0039,retail,26/07/2024,24,south,central,low,155.77,phone,FALSE
o00156,c0035,parcel,24/04/2024,6,west,north,medium,68.58,web,TRUE
o00157,c0513,business,16/09/2024,2,airport,north,low,60.52,app,FALSE
o00158,c0620,business,11/07/2024,24,central,west,high,67.81,phone,FALSE
o00159,c0505,parcel,14/09/2024,12,north,south,low,105.17,app,FALSE
o00160,c0478,parcel,20/08/2024,6,central,east,high,68.1,web,FALSE
o00161,c0025,parcel,19/08/2024,12,south,airport,high,123.09,phone,FALSE
o00162,c0476,business,14/12/2025,12,south,ctr,medium,139.13,app,FALSE
o00163,c0583,parcel,09/06/2025,4,central,north,low,67.97,phone,TRUE
o00164,c0622,parcel,23/03/2024,24,south,ctr,low,211.8,app,FALSE
o00165,c0275,retail,16/03/2024,24,north,central,low,122.59,app,FALSE
o00166,c0517,passenger,30/05/2025,4,east,south,medium,76.66,app,FALSE
o00167,c0325,medical,27/04/2024,24,east,east,medium,24.78,app,FALSE
o00168,c0464,parcel,11/06/2025,6,central,riverside,high,115.35,web,FALSE
o00169,c0399,retail,03/12/2025,4,east,north,medium,84.09,app,TRUE
o00170,c0005,business,24/06/2024,4,airport,airport,high,58.3,app,TRUE
o00171,c0447,parcel,01/05/2025,1,airport,airport,critical,63.41,app,FALSE
o00172,c0343,passenger,17/01/2025,4,east,west,high,108.19,app,FALSE
o00173,c0371,passenger,18/02/2025,2,ctr,central,critical,249.32,app,TRUE
o00174,c0537,passenger,16/01/2025,4,central,north,low,19.65,web,FALSE
o00175,c0562,business,19/12/2025,4,riverside,west,high,150.9,app,FALSE
o00176,c0479,retail,15/04/2025,4,central,ctr,medium,14.76,phone,FALSE
o00177,c0477,passenger,25/12/2025,6,north,west,low,109.36,web,FALSE
o00178,c0287,medical,30/03/2024,4,east,south,low,55.9,app,FALSE
o00179,c0343,parcel,25/07/2024,12,central,riverside,medium,52.96,web,TRUE
o00180,c0615,parcel,29/12/2024,24,central,north,low,54.32,phone,FALSE
o00181,c0252,retail,15/12/2024,2,airport,airport,critical,108.19,app,TRUE
o00182,c0258,passenger,12/01/2024,2,west,west,medium,109.03,web,FALSE
o00183,c0102,business,02/09/2024,4,south,riverside,critical,11.5,app,FALSE
o00184,c0394,parcel,21/06/2025,2,central,riverside,medium,51.44,app,FALSE
o00185,c0482,retail,15/05/2025,24,east,central,low,62.26,web,FALSE
o00186,c0007,parcel,10/09/2025,1,east,west,low,7.45,app,FALSE
o00187,c0070,medical,30/12/2024,12,south,east,medium,49.72,app,FALSE
o00188,c0558,passenger,09/09/2025,4,riverside,ctr,medium,138.45,app,TRUE
o00189,c0388,parcel,22/11/2025,4,north,north,low,14.46,app,FALSE
o00190,c0622,parcel,28/12/2024,1,south,north,medium,31.72,phone,FALSE
o00191,c0641,parcel,02/04/2025,12,central,north,medium,151.09,phone,TRUE
o00192,c0404,retail,18/08/2025,24,ctr,north,high,83.79,app,TRUE
o00193,c0114,business,22/01/2024,4,east,ctr,medium,202.67,app,TRUE
o00194,c0191,passenger,16/03/2024,1,central,riverside,low,92.07,web,TRUE
o00195,c0404,retail,02/06/2024,12,ctr,east,medium,18.03,app,TRUE
o00196,c0314,retail,23/10/2024,6,ctr,central,high,151.74,app,FALSE
o00197,c0420,retail,24/01/2025,2,north,east,medium,175.96,phone,FALSE
o00198,c0487,parcel,13/09/2024,2,west,central,low,21.51,web,FALSE
o00201,c0486,passenger,13/05/2025,4,north,south,medium,118.29,web,FALSE
o00202,c0449,passenger,02/02/2024,1,south,west,low,20.68,web,FALSE
o00203,c0336,business,05/07/2024,6,central,airport,high,84.76,web,FALSE
o00204,c0355,passenger,22/10/2025,12,airport,west,high,61.59,app,FALSE
o00205,c0246,parcel,05/02/2025,6,north,south,medium,63.36,app,TRUE
o00206,c0255,parcel,10/12/2025,4,south,east,low,20.86,app,TRUE
o00207,c0023,business,22/08/2024,6,ctr,riverside,medium,80.33,app,FALSE
o00208,c0359,passenger,18/03/2024,2,west,riverside,high,90.19,phone,TRUE
o00209,c0201,retail,24/06/2025,4,airport,riverside,critical,178.55,app,TRUE
o00210,c0347,parcel,14/05/2024,4,east,west,high,106.23,phone,FALSE
o00211,c0488,business,14/02/2024,6,airport,east,medium,43.29,app,TRUE
o00212,c0121,parcel,04/01/2025,4,east,ctr,high,128.36,app,FALSE
o00213,c0512,parcel,05/12/2024,12,west,riverside,low,161.85,phone,TRUE
o00214,c0088,business,01/02/2025,2,east,east,high,102.83,app,FALSE
o00215,c0341,business,07/01/2024,1,west,west,medium,84.03,phone,TRUE
o00217,c0331,retail,22/01/2024,24,airport,airport,medium,40.42,phone,TRUE
o00218,c0154,passenger,15/09/2025,2,north,west,critical,77.97,app,FALSE
o00219,c0421,passenger,29/05/2024,2,east,south,medium,62.84,app,FALSE
o00220,c0428,medical,27/05/2024,6,central,west,low,136.63,phone,FALSE
o00221,c0298,parcel,06/10/2024,12,south,airport,medium,16.07,phone,FALSE
o00222,c0266,parcel,25/09/2024,4,riverside,west,high,27.35,phone,FALSE
o00223,c0172,retail,10/08/2025,4,ctr,airport,high,178.85,web,FALSE
o00224,c0045,parcel,22/05/2024,24,north,central,high,46.15,app,TRUE
o00226,c0292,parcel,23/07/2024,24,east,north,medium,63.79,app,FALSE
o00227,c0174,business,08/08/2025,4,airport,north,medium,21.79,app,FALSE
o00228,c0242,parcel,06/01/2025,6,east,airport,high,87.21,web,FALSE
o00229,c0335,passenger,31/08/2024,6,central,riverside,medium,33.48,app,FALSE
o00230,c0533,passenger,14/03/2024,1,central,north,low,25.84,app,TRUE
o00232,c0533,retail,05/06/2025,6,riverside,central,medium,122.94,app,TRUE
o00233,c0252,parcel,24/12/2024,1,riverside,south,high,100.64,phone,TRUE
o00234,c0145,parcel,19/02/2025,6,south,riverside,low,42.01,web,FALSE
o00235,c0502,retail,22/12/2025,2,ctr,central,medium,27.53,phone,FALSE
o00236,c0429,business,26/11/2024,2,east,south,medium,118.24,app,FALSE
o00237,c0431,parcel,11/01/2025,24,riverside,south,low,19.51,web,FALSE
o00238,c0141,parcel,28/08/2024,4,south,west,critical,192.22,phone,TRUE
o00239,c0399,parcel,18/05/2024,4,ctr,central,low,31.43,app,FALSE
o00240,c0289,passenger,18/11/2025,2,east,airport,low,71.85,app,FALSE
o00241,c0117,parcel,01/04/2025,2,west,north,low,99.3,app,TRUE
o00242,c0587,retail,05/11/2024,1,ctr,west,high,42.77,app,FALSE
o00243,c0153,passenger,08/03/2024,6,south,west,low,64.73,phone,FALSE
o00244,c0519,passenger,11/11/2024,1,north,riverside,medium,225.95,app,FALSE
o00245,c0096,parcel,08/08/2025,4,south,south,low,21.06,app,TRUE
o00246,c0023,parcel,14/12/2024,4,east,riverside,medium,68.11,web,FALSE
o00247,c0613,parcel,13/07/2024,4,east,south,high,124.3,app,FALSE
o00248,c0153,passenger,22/03/2024,4,south,airport,medium,16.18,phone,FALSE
o00249,c0566,business,07/11/2024,2,central,west,critical,218.68,app,FALSE
o00250,c0300,passenger,24/04/2025,24,central,north,medium,9.42,app,FALSE
o00251,c0581,parcel,07/12/2025,1,riverside,south,medium,42.45,app,FALSE
o00252,c0232,parcel,10/03/2024,1,east,north,low,66.88,phone,FALSE
o00253,c0543,retail,28/06/2024,4,ctr,west,high,144.86,web,FALSE
o00254,c0097,parcel,20/09/2024,4,north,west,medium,115.81,app,FALSE
o00255,c0225,retail,17/06/2024,12,south,central,critical,139.77,phone,FALSE
o00256,c0564,retail,30/08/2024,6,north,north,high,131.08,app,FALSE
o00257,c0128,passenger,11/08/2024,6,south,north,critical,87.95,phone,TRUE
o00258,c0107,business,03/04/2025,4,central,west,low,98.81,app,FALSE
o00259,c0122,retail,09/09/2025,24,south,east,high,172.55,app,TRUE
o00260,c0597,parcel,28/05/2025,6,central,riverside,low,198.61,app,TRUE
o00261,c0003,passenger,20/07/2024,12,west,east,low,165.8,app,FALSE
o00262,c0265,passenger,28/02/2024,6,central,central,high,151.47,phone,TRUE
o00263,c0031,parcel,19/02/2024,2,west,central,low,63.35,app,FALSE
o00264,c0633,business,12/08/2025,6,east,airport,medium,113.96,app,TRUE
o00265,c0244,parcel,19/05/2024,4,riverside,south,medium,20.51,app,FALSE
o00266,c0345,business,04/10/2024,2,ctr,north,high,41.27,app,TRUE
o00267,c0256,parcel,16/01/2024,6,airport,north,low,98.71,app,FALSE
o00268,c0475,medical,29/01/2024,4,west,west,medium,71.4,app,TRUE
o00269,c0175,passenger,30/11/2024,6,north,riverside,medium,19.29,app,FALSE
o00270,c0561,business,26/10/2025,4,west,central,medium,140.61,app,TRUE
o00271,c0381,passenger,16/09/2025,4,west,ctr,critical,192.54,app,FALSE
o00272,c0647,retail,11/12/2024,24,riverside,central,medium,55.63,app,FALSE
o00273,c0642,retail,28/02/2025,24,central,west,medium,16.14,app,FALSE
o00274,c0086,passenger,03/10/2025,24,north,west,high,90.93,app,TRUE
o00275,c0473,business,21/05/2025,6,south,east,medium,142.68,app,FALSE
o00276,c0442,parcel,20/09/2024,6,central,east,medium,61.64,app,FALSE
o00277,c0329,passenger,14/01/2024,6,west,central,medium,107.13,phone,FALSE
o00278,c0183,passenger,20/11/2024,12,ctr,north,high,32.25,phone,FALSE
o00279,c0246,business,16/11/2024,12,west,riverside,medium,61.44,app,FALSE
o00280,c0206,passenger,20/09/2025,12,east,airport,critical,151.49,app,TRUE
o00281,c0437,passenger,03/12/2024,4,airport,north,low,47.49,web,FALSE
o00282,c0630,parcel,20/01/2024,6,south,west,medium,207.38,web,FALSE
o00283,c0430,business,26/05/2024,6,north,west,medium,177.07,app,FALSE
o00284,c0363,passenger,02/04/2024,24,north,airport,high,116.68,phone,FALSE
o00285,c0180,business,05/01/2025,4,north,north,high,106.65,app,FALSE
o00286,c0402,business,05/07/2025,6,west,east,low,84.75,app,FALSE
o00287,c0201,retail,22/07/2025,1,west,airport,low,68.14,phone,FALSE
o00288,c0542,medical,08/09/2025,4,south,central,low,56.47,app,FALSE
o00289,c0574,parcel,23/08/2024,24,north,east,high,20.53,app,FALSE
o00290,c0028,medical,21/09/2024,2,central,west,high,54.76,app,FALSE
o00291,c0198,business,02/02/2024,4,airport,south,low,116.22,web,FALSE
o00292,c0060,parcel,29/10/2025,12,ctr,west,medium,59.59,app,FALSE
o00293,c0165,parcel,09/04/2025,6,ctr,east,critical,67.89,app,FALSE
o00294,c0486,parcel,05/01/2025,1,airport,airport,low,82.04,app,FALSE
o00295,c0123,passenger,07/10/2024,2,east,north,medium,45.46,app,FALSE
o00296,c0400,retail,10/01/2024,6,south,north,medium,10.85,app,FALSE
o00297,c0560,passenger,12/04/2024,6,airport,riverside,low,151.53,web,FALSE
o00298,c0184,parcel,06/01/2025,4,west,north,low,28.65,web,FALSE
o00299,c0566,retail,21/08/2024,6,south,ctr,low,172.53,app,FALSE
o00300,c0512,retail,02/04/2024,4,riverside,south,low,33.34,app,TRUE
o00301,c0181,business,17/05/2024,6,east,riverside,medium,63.32,app,FALSE
o00302,c0558,retail,10/07/2025,24,riverside,central,high,228.25,web,FALSE
o00303,c0514,retail,22/07/2025,4,central,south,medium,48.67,web,FALSE
o00304,c0253,passenger,12/09/2025,12,east,riverside,high,134.68,app,FALSE
o00305,c0322,parcel,01/06/2024,24,riverside,airport,low,46.14,phone,FALSE
o00306,c0613,passenger,14/06/2024,4,north,north,low,42.22,phone,FALSE
o00307,c0343,parcel,25/12/2024,4,east,riverside,low,73.14,app,FALSE
o00308,c0458,passenger,28/03/2025,12,airport,west,medium,100.44,app,FALSE
o00309,c0073,parcel,13/10/2025,1,south,airport,medium,175.54,phone,FALSE
o00310,c0094,retail,02/02/2025,24,central,west,high,28.08,app,FALSE
o00311,c0215,medical,27/11/2024,12,central,south,high,167.59,phone,FALSE
o00312,c0164,passenger,06/11/2025,6,east,east,medium,124.24,app,FALSE
o00313,c0616,medical,08/03/2024,24,south,north,low,11.11,app,FALSE
o00314,c0626,medical,15/02/2025,6,east,east,high,39.37,web,FALSE
o00315,c0494,parcel,25/12/2024,4,north,south,low,159.29,app,FALSE
o00316,c0094,medical,31/07/2025,6,west,west,low,53.63,app,FALSE
o00317,c0094,passenger,19/01/2025,6,riverside,west,high,236.09,app,TRUE
o00318,c0009,retail,17/08/2024,6,riverside,south,low,84.27,web,TRUE
o00319,c0335,business,22/01/2024,24,ctr,airport,low,124.48,app,FALSE
o00320,c0519,parcel,20/03/2025,1,central,west,high,97.13,phone,FALSE
o00321,c0016,medical,28/12/2024,4,central,west,medium,97.42,web,FALSE
o00322,c0495,business,11/03/2025,4,ctr,south,high,61.55,app,FALSE
o00323,c0487,retail,01/11/2024,4,south,north,low,22.09,phone,FALSE
o00324,c0019,passenger,06/08/2025,1,south,riverside,high,131.3,app,TRUE
o00325,c0259,passenger,30/09/2024,2,north,south,medium,70.71,web,FALSE
o00326,c0178,passenger,03/11/2024,12,west,west,medium,242.48,web,FALSE
o00327,c0435,retail,05/12/2024,4,north,north,low,90.61,app,FALSE
o00328,c0491,business,12/09/2024,2,east,south,medium,37.78,app,FALSE
o00329,c0278,parcel,30/11/2025,6,central,south,medium,7.02,web,TRUE
o00330,c0172,medical,08/04/2025,1,west,riverside,medium,49.61,web,FALSE
o00331,c0399,parcel,23/02/2024,6,riverside,east,medium,36.77,app,FALSE
o00332,c0110,business,04/01/2025,12,north,riverside,medium,93.33,phone,FALSE
o00333,c0123,medical,25/03/2025,6,east,central,medium,71.97,app,FALSE
o00334,c0500,parcel,23/05/2024,4,riverside,south,high,62.54,app,FALSE
o00335,c0482,passenger,26/01/2024,24,north,airport,high,227.61,app,TRUE
o00336,c0115,retail,10/01/2024,6,west,ctr,critical,108.38,app,FALSE
o00337,c0463,retail,05/11/2024,6,west,airport,critical,68.13,app,TRUE
o00338,c0648,passenger,26/12/2024,6,riverside,riverside,medium,38.31,app,FALSE
o00339,c0301,medical,21/06/2024,2,airport,north,high,238.92,web,FALSE
o00340,c0127,retail,10/02/2025,2,ctr,airport,high,89.8,app,FALSE
o00341,c0026,retail,13/12/2024,4,riverside,east,medium,36.59,app,FALSE
o00342,c0643,passenger,12/11/2025,6,north,south,low,187.9,web,FALSE
o00343,c0184,business,09/12/2024,2,ctr,south,medium,81.36,app,FALSE
o00344,c0594,parcel,28/08/2024,6,central,north,medium,104.62,app,TRUE
o00345,c0337,retail,04/10/2025,6,east,central,high,27.35,phone,FALSE
o00346,c0500,retail,08/02/2024,2,riverside,east,medium,84.74,app,FALSE
o00348,c0372,parcel,16/03/2025,2,north,south,high,58.25,web,FALSE
o00349,c0161,business,21/01/2024,2,north,central,medium,55.21,app,FALSE
o00350,c0197,retail,20/11/2024,4,east,west,high,13.42,app,FALSE
o00351,c0259,parcel,22/04/2024,1,airport,west,medium,20.77,web,TRUE
o00352,c0097,parcel,19/05/2024,4,airport,north,low,271.29,app,FALSE
o00353,c0354,business,03/01/2024,4,west,airport,low,135.85,phone,FALSE
o00354,c0154,parcel,02/12/2025,2,east,riverside,low,78.37,web,FALSE
o00355,c0006,passenger,10/10/2025,4,riverside,riverside,medium,59.47,app,FALSE
o00356,c0430,medical,27/05/2025,4,riverside,airport,medium,64.6,app,FALSE
o00357,c0608,retail,28/12/2024,2,central,south,medium,171.28,phone,FALSE
o00358,c0273,passenger,20/03/2024,4,riverside,central,low,94.51,app,FALSE
o00359,c0048,passenger,17/08/2024,24,east,central,high,134.58,web,FALSE
o00360,c0506,passenger,06/10/2024,1,central,central,high,111.56,app,FALSE
o00361,c0345,business,16/01/2024,1,east,south,low,256.22,app,FALSE
o00362,c0586,medical,11/03/2024,4,central,riverside,high,43.69,phone,FALSE
