vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
v060,cargovan,ctr,09/09/2025,80.2,65113,inrepair,v2.0
v061,diesel,south,06/08/2025,60.3,126438,active,v2.2
v062,hybrid,north,13/02/2024,89.9,113343,active,v2.0
v063,ev,central,11/01/2024,73.6,159860,active,v2.1
v064,cargovan,west,28/12/2025,67.3,219116,inrepair,v2.2
v065,ev,west,05/01/2024,84.3,217057,active,v2.1
v066,hybrid,north,10/04/2024,77.7,98535,scheduled,v2.2
v067,hybrid,ctr,15/11/2025,57.3,176145,active,v2.0
v068,hybrid,riverside,28/06/2024,97.5,73769,inrepair,v2.0
v069,hybrid,central,20/07/2025,71.4,187158,active,v2.1
v070,cargovan,north,24/10/2025,62.6,39859,inrepair,v2.0
v071,ev,west,27/05/2024,73.8,195310,scheduled,v1.9
v072,cargovan,airport,24/02/2025,78.1,89109,inrepair,v2.1
v074,cargovan,east,05/06/2025,62.4,18034,active,v2.1
v075,diesel,west,12/04/2024,85.5,32441,inrepair,v2.1
v076,diesel,central,19/06/2025,65.8,106063,inrepair,v1.9
v077,ev,south,23/04/2025,67.6,116877,scheduled,v2.1
v078,cargovan,north,04/03/2024,78.4,153638,active,v2.1
v079,ev,airport,01/12/2025,100,117995,active,v2.2
v080,ev,east,27/05/2024,100,68844,active,v1.9
v081,ev,west,28/12/2024,86.6,165481,active,v2.2
v082,ev,ctr,03/02/2024,81.2,81518,active,v2.1
v083,cargovan,north,11/04/2024,79.3,42073,active,v2.2
v084,cargovan,riverside,23/12/2024,47.6,53872,inrepair,v2.1
v085,cargovan,south,30/09/2025,87.3,145652,active,v2.1
v086,ev,central,25/02/2024,82.8,42307,scheduled,v2.2
v087,hybrid,airport,09/02/2025,49.7,116811,active,v2.1
v088,diesel,north,14/02/2024,80.3,50427,inrepair,v2.1
v089,cargovan,central,27/09/2025,93.6,136082,inrepair,v1.9
v090,hybrid,west,16/08/2024,93.8,98472,inrepair,v2.0
v091,hybrid,east,24/08/2025,58.5,172956,active,v1.9
v092,hybrid,east,07/01/2024,80.5,36143,inrepair,v2.1
v093,cargovan,central,04/03/2025,69.2,119136,scheduled,v2.0
v094,cargovan,central,22/05/2025,65.9,159262,scheduled,v1.9
v095,cargovan,riverside,24/11/2025,79,104553,inrepair,v2.0
v096,cargovan,east,21/08/2025,85.1,193315,inrepair,v2.0
v097,ev,ctr,12/11/2024,92.1,18680,active,v2.1
v098,diesel,west,29/12/2025,69.7,73011,active,v2.1
v099,hybrid,south,06/09/2024,65.8,92896,active,v2.0
v100,cargovan,east,23/06/2024,60.1,31876,active,v2.0
v101,hybrid,north,10/07/2024,84.8,106932,inrepair,v2.1
v102,ev,west,24/10/2024,77,198326,active,v2.0
v103,hybrid,north,06/01/2025,100,181609,inrepair,v2.1
v104,ev,east,30/06/2025,73.9,91441,active,v2.1
v106,cargovan,north,06/05/2024,74.9,93084,active,v2.1
v107,cargovan,north,25/12/2024,87.9,96239,active,v2.0
v108,diesel,airport,31/01/2025,54.6,141290,inrepair,v1.9
v109,hybrid,airport,17/10/2024,60.6,193552,inrepair,v2.1
v110,ev,east,22/03/2025,85.1,63717,active,v2.1
v111,ev,west,11/11/2025,66.3,208147,active,v2.1
v112,ev,south,08/06/2024,94.1,19121,inrepair,v2.1
v113,hybrid,central,12/05/2024,58.9,52725,inrepair,v1.9
v114,hybrid,north,03/10/2024,90,84649,active,v2.2
v115,diesel,south,10/05/2024,57.9,85919,active,v2.2
v116,diesel,east,23/04/2025,62.7,71822,active,v2.1
v117,hybrid,south,11/01/2025,65.5,163683,scheduled,v2.2
v118,diesel,riverside,18/02/2025,78,145165,active,v2.1
v119,ev,riverside,17/08/2025,67.6,215407,inrepair,v2.1
v120,ev,central,02/05/2025,73.6,192246,active,v2.0
