event_id,customer_id,order_id,event_timestamp,event_type,session_id,device_type,zone_context,api_latency_ms,success_flag,success
ae00045,c0163,o00696,09/10/2024 22:04,payment_retry,s76855,ios,airport,555,TRUE,1
ae00046,c0531,o00016,30/10/2024 13:13,search_route,s55883,web,west,326,TRUE,1
ae00047,c0063,o00159,18/09/2024 14:52,track_order,s29662,ios,east,344,TRUE,1
ae00048,c0306,o01222,25/02/2025 04:16,chat_escalated,s77519,android,riverside,166,FALSE,0
ae00049,c0381,o01086,11/11/2025 17:22,chat_opened,s99244,android,west,113,TRUE,1
ae00051,c0080,o00512,18/10/2025 21:50,eta_refresh,s35136,android,ctr,473,TRUE,1
ae00052,c0326,o01080,12/02/2024 02:37,payment_retry,s42021,android,north,570,FALSE,0
ae00053,c0349,o00467,28/11/2024 23:28,delivery_instruction_update,s83805,ios,south,255,TRUE,1
ae00054,c0138,o00189,01/05/2025 02:00,search_route,s82990,ios,south,73,TRUE,1
ae00055,c0120,o00922,29/09/2024 23:08,track_order,s55056,ios,airport,800,TRUE,1
ae00056,c0556,o01180,23/09/2025 17:24,payment_retry,s77071,android,north,592,FALSE,0
ae00057,c0266,o00600,03/11/2025 13:54,track_order,s51373,android,east,585,TRUE,1
ae00060,c0490,o00551,14/09/2025 12:20,search_route,s69751,ios,central,270,TRUE,1
ae00061,c0551,o01205,31/03/2025 09:18,track_order,s46023,ios,airport,418,TRUE,1
ae00062,c0116,o01105,29/01/2024 07:08,track_order,s57220,android,riverside,838,TRUE,1
ae00063,c0549,o00656,06/11/2024 15:04,delivery_instruction_update,s42721,android,east,274,TRUE,1
ae00064,c0515,o00032,16/09/2024 15:36,track_order,s99350,android,central,840,TRUE,1
ae00065,c0127,o01042,03/04/2024 04:07,delivery_instruction_update,s23520,android,east,287,TRUE,1
ae00067,c0113,o00822,28/04/2025 01:07,eta_refresh,s57776,android,north,594,TRUE,1
ae00068,c0130,o00096,06/04/2024 13:41,chat_opened,s29137,android,ctr,60,TRUE,1
ae00070,c0063,o00689,11/06/2025 06:37,chat_opened,s88132,ios,central,477,TRUE,1
ae00071,c0565,o01092,11/10/2024 06:33,chat_opened,s38006,ios,east,300,TRUE,1
ae00072,c0006,o00802,10/11/2025 23:09,track_order,s37414,android,ctr,155,TRUE,1
ae00075,c0439,o00245,22/09/2024 13:20,delivery_instruction_update,s47526,ios,airport,463,TRUE,1
ae00076,c0221,o01006,19/04/2025 07:46,delivery_instruction_update,s50746,android,east,1005,TRUE,1
ae00077,c0549,o01026,12/06/2024 20:18,search_route,s59198,ios,east,546,TRUE,1
ae00079,c0371,o00950,28/02/2025 12:58,delivery_instruction_update,s75895,ios,riverside,646,TRUE,1
ae00080,c0181,o00757,08/01/2024 01:12,search_route,s51497,android,south,783,TRUE,1
ae00081,c0182,o00976,14/05/2024 22:41,track_order,s96252,android,west,422,TRUE,1
ae00082,c0231,o00506,03/12/2025 00:20,search_route,s46240,ios,east,60,TRUE,1
ae00083,c0215,o00602,12/09/2024 22:25,track_order,s29184,ios,east,265,TRUE,1
ae00084,c0021,o01124,22/02/2024 02:18,delivery_instruction_update,s65491,ios,south,688,TRUE,1
ae00085,c0634,o01212,20/03/2024 07:47,delivery_instruction_update,s30667,android,airport,843,TRUE,1
ae00087,c0218,o00386,27/06/2024 01:58,search_route,s21479,android,riverside,401,TRUE,1
ae00089,c0637,o00619,02/01/2024 17:18,search_route,s54109,web,north,60,TRUE,1
ae00090,c0044,o00078,17/07/2025 23:08,payment_retry,s76455,android,north,820,TRUE,1
ae00091,c0204,o00772,06/12/2025 06:51,chat_escalated,s24981,ios,east,610,TRUE,1
ae00092,c0129,o00080,22/04/2025 23:16,eta_refresh,s30798,android,ctr,522,TRUE,1
ae00093,c0025,o00405,13/02/2024 15:40,payment_retry,s57429,ios,east,440,TRUE,1
ae00095,c0428,o01057,16/05/2025 01:12,delivery_instruction_update,s81735,web,west,399,TRUE,1
ae00096,c0424,o00426,07/02/2025 00:14,track_order,s50881,web,east,562,TRUE,1
ae00097,c0468,o00460,10/06/2025 04:05,payment_retry,s77602,android,riverside,404,FALSE,0
ae00099,c0095,o00709,25/04/2024 00:36,payment_retry,s33955,android,riverside,138,TRUE,1
ae00102,c0272,o01227,13/05/2025 09:40,chat_escalated,s62522,android,east,982,TRUE,1
ae00103,c0306,o00114,02/10/2025 10:34,payment_retry,s19712,web,north,551,TRUE,1
ae00104,c0429,o00170,19/03/2024 16:37,chat_opened,s25315,android,riverside,649,TRUE,1
ae00105,c0540,o00428,28/05/2024 05:14,cancel_attempt,s64900,ios,riverside,153,TRUE,1
ae00106,c0360,o01144,25/01/2025 13:47,search_route,s96181,android,south,216,TRUE,1
ae00107,c0081,o00858,24/01/2024 03:08,chat_escalated,s34476,android,north,449,FALSE,0
ae00109,c0114,o00393,17/07/2024 12:02,eta_refresh,s22089,android,airport,533,TRUE,1
ae00110,c0382,o00099,03/07/2024 02:04,delivery_instruction_update,s87255,web,ctr,209,TRUE,1
ae00111,c0565,o00055,06/02/2025 03:15,cancel_attempt,s80723,android,riverside,219,TRUE,1
ae00112,c0259,o00051,24/04/2025 08:45,search_route,s67232,android,central,602,TRUE,1
ae00113,c0540,o01132,27/02/2024 18:25,search_route,s21806,android,west,510,TRUE,1
ae00114,c0135,o00217,02/06/2025 18:48,eta_refresh,s46677,ios,west,464,TRUE,1
ae00115,c0012,o00781,29/12/2025 23:12,track_order,s41963,ios,north,546,TRUE,1
ae00116,c0237,o00033,16/07/2024 05:19,eta_refresh,s56150,ios,ctr,422,TRUE,1
ae00117,c0122,o00043,11/04/2024 11:39,track_order,s18818,android,north,387,TRUE,1
ae00118,c0459,o00059,12/07/2024 20:41,track_order,s52877,android,north,629,TRUE,1
ae00119,c0153,o00021,13/01/2024 16:25,track_order,s89481,web,north,628,TRUE,1
ae00120,c0429,o00367,09/08/2024 08:11,delivery_instruction_update,s53741,android,ctr,1218,TRUE,1
ae00121,c0451,o00857,30/09/2025 03:14,payment_retry,s19782,android,west,862,FALSE,0
ae00122,c0178,o00979,16/07/2025 15:36,eta_refresh,s68778,ios,east,312,TRUE,1
ae00123,c0250,o00011,15/11/2024 06:53,payment_retry,s15600,android,central,1558,TRUE,1
ae00125,c0430,o01083,22/06/2025 18:22,delivery_instruction_update,s35887,android,south,510,TRUE,1
ae00126,c0343,o00847,13/12/2024 22:02,eta_refresh,s81938,ios,central,433,TRUE,1
ae00127,c0135,o01205,12/11/2025 01:05,track_order,s33676,web,west,299,TRUE,1
ae00129,c0234,o01211,28/08/2024 20:20,search_route,s11783,android,south,304,TRUE,1
ae00130,c0499,o00863,12/01/2024 22:22,delivery_instruction_update,s63325,android,east,286,TRUE,1
ae00131,c0344,o00395,09/12/2025 05:51,eta_refresh,s40076,android,east,751,TRUE,1
ae00132,c0504,o00741,30/04/2024 13:14,chat_opened,s11696,android,west,375,TRUE,1
ae00134,c0074,o00216,31/12/2024 16:38,eta_refresh,s31994,android,airport,368,TRUE,1
ae00135,c0447,o00395,03/05/2025 11:11,chat_opened,s28174,ios,east,418,TRUE,1
ae00137,c0318,o00669,19/07/2024 21:36,search_route,s42305,android,north,289,TRUE,1
ae00138,c0495,o00863,04/07/2024 03:28,delivery_instruction_update,s41862,ios,south,641,TRUE,1
ae00139,c0589,o01195,06/04/2024 09:08,track_order,s18650,ios,south,263,TRUE,1
ae00140,c0026,o00312,30/07/2024 22:16,track_order,s35078,ios,west,639,TRUE,1
ae00141,c0644,o00956,21/07/2024 16:03,track_order,s51247,android,ctr,901,TRUE,1
ae00142,c0005,o00103,18/04/2024 04:39,track_order,s33250,android,west,187,TRUE,1
ae00143,c0025,o00124,18/07/2024 18:59,cancel_attempt,s88076,android,airport,1039,TRUE,1
ae00144,c0347,o00708,08/10/2024 10:04,eta_refresh,s80449,android,north,648,TRUE,1
ae00145,c0062,o01049,31/08/2024 23:03,delivery_instruction_update,s88111,ios,central,159,TRUE,1
ae00146,c0228,o00311,02/08/2025 23:18,track_order,s69169,android,north,275,TRUE,1
ae00147,c0128,o00020,28/09/2024 14:16,track_order,s54633,ios,central,836,TRUE,1
ae00149,c0236,o00733,04/03/2024 12:19,delivery_instruction_update,s97668,android,east,191,TRUE,1
ae00150,c0207,o00017,02/12/2025 08:49,cancel_attempt,s30266,android,south,118,TRUE,1
ae00151,c0472,o00129,24/11/2024 20:48,search_route,s28386,android,airport,1035,TRUE,1
ae00152,c0134,o00890,28/10/2025 12:42,payment_retry,s79279,ios,east,609,TRUE,1
ae00154,c0096,o00813,03/04/2025 00:09,track_order,s26942,ios,riverside,187,TRUE,1
ae00155,c0256,o01136,19/06/2025 05:14,search_route,s78880,ios,east,780,TRUE,1
ae00156,c0004,o00998,12/05/2025 19:56,chat_opened,s19094,android,north,618,TRUE,1
ae00157,c0568,o01041,05/07/2025 07:53,chat_opened,s94050,android,east,669,TRUE,1
ae00158,c0444,o00239,01/05/2024 10:17,track_order,s64444,android,south,558,TRUE,1
ae00159,c0057,o01073,10/10/2025 01:20,search_route,s80676,android,south,100,TRUE,1
ae00161,c0308,o00031,16/06/2024 16:40,search_route,s73430,ios,east,635,TRUE,1
ae00163,c0159,o00703,30/05/2025 03:46,search_route,s29863,android,south,586,TRUE,1
ae00164,c0028,o00547,13/10/2025 18:52,eta_refresh,s21845,android,west,330,TRUE,1
ae00165,c0211,o01203,20/11/2024 00:04,track_order,s42312,ios,west,141,TRUE,1
ae00168,c0428,o00991,13/11/2024 12:22,track_order,s94225,android,central,160,TRUE,1
ae00169,c0236,o01007,20/09/2025 00:31,payment_retry,s31565,android,airport,252,TRUE,1
ae00173,c0604,o00323,12/05/2024 11:14,eta_refresh,s59591,web,west,772,TRUE,1
ae00175,c0027,o00040,22/03/2025 09:30,chat_opened,s27542,ios,north,828,TRUE,1
ae00176,c0443,o00475,19/04/2025 23:45,track_order,s99435,ios,east,530,TRUE,1
ae00179,c0634,o00605,20/04/2024 23:19,delivery_instruction_update,s52206,android,north,231,TRUE,1
ae00180,c0003,o00599,05/04/2024 22:39,cancel_attempt,s48720,android,airport,282,TRUE,1
ae00182,c0438,o01213,26/04/2025 09:51,eta_refresh,s29723,android,west,328,TRUE,1
ae00184,c0383,o00290,28/06/2025 12:11,eta_refresh,s10919,android,airport,673,TRUE,1
ae00185,c0540,o00636,01/01/2024 04:02,payment_retry,s50299,web,east,550,TRUE,1
ae00186,c0297,o00033,09/01/2024 21:50,delivery_instruction_update,s98196,web,airport,811,TRUE,1
ae00189,c0491,o00686,03/08/2024 12:43,chat_opened,s98299,ios,central,320,TRUE,1
ae00190,c0006,o00220,25/12/2024 13:57,track_order,s89254,web,west,407,TRUE,1
ae00191,c0559,o00582,06/03/2024 18:13,search_route,s57395,android,ctr,304,TRUE,1
ae00192,c0415,o00091,04/04/2025 13:39,eta_refresh,s25456,web,riverside,238,TRUE,1
ae00193,c0558,o00320,10/08/2024 19:31,payment_retry,s70607,ios,airport,1701,TRUE,1
ae00195,c0182,o00489,12/02/2024 12:39,track_order,s88300,ios,riverside,553,TRUE,1
ae00196,c0308,o01227,18/07/2024 11:53,payment_retry,s74695,ios,airport,280,FALSE,0
ae00199,c0458,o00502,05/03/2025 09:23,track_order,s54839,android,east,794,TRUE,1
ae00200,c0422,o00420,13/11/2025 01:11,eta_refresh,s20454,android,riverside,574,TRUE,1
ae00201,c0139,o00783,12/08/2024 08:07,eta_refresh,s79498,android,west,60,TRUE,1
ae00202,c0190,o00008,31/12/2024 22:36,track_order,s46827,android,riverside,747,TRUE,1
ae00203,c0050,o01110,28/11/2024 23:16,eta_refresh,s88874,ios,north,792,TRUE,1
ae00204,c0370,o00390,21/10/2025 12:12,search_route,s14150,ios,airport,414,TRUE,1
ae00205,c0565,o01188,02/12/2025 17:43,search_route,s65549,ios,west,521,TRUE,1
ae00206,c0540,o00860,10/08/2025 13:22,track_order,s41049,ios,central,423,TRUE,1
ae00207,c0611,o00360,30/09/2025 05:26,track_order,s85216,ios,north,443,TRUE,1
ae00208,c0492,o00439,18/07/2024 08:06,delivery_instruction_update,s14892,ios,east,729,TRUE,1
ae00209,c0311,o00549,25/06/2025 21:11,search_route,s69288,ios,east,479,TRUE,1
ae00210,c0066,o00764,17/10/2025 10:22,track_order,s97799,android,north,610,TRUE,1
ae00211,c0154,o00597,10/03/2025 18:31,chat_opened,s23758,ios,north,273,TRUE,1
ae00212,c0050,o00656,09/12/2024 02:17,chat_escalated,s30429,web,airport,474,FALSE,0
ae00213,c0165,o00825,31/12/2025 01:59,cancel_attempt,s21498,android,west,337,TRUE,1
ae00214,c0036,o00929,19/11/2024 16:32,chat_escalated,s95975,ios,central,60,TRUE,1
ae00216,c0353,o00689,15/02/2025 06:05,track_order,s56502,android,west,193,TRUE,1
ae00217,c0489,o00452,22/04/2024 18:38,track_order,s41923,ios,east,523,TRUE,1
ae00218,c0638,o00997,11/07/2024 07:41,search_route,s93085,android,airport,137,TRUE,1
ae00219,c0495,o00473,06/11/2024 10:57,cancel_attempt,s46630,ios,central,371,TRUE,1
ae00220,c0469,o00413,02/10/2025 15:05,search_route,s61687,ios,airport,1046,TRUE,1
ae00221,c0309,o01074,16/08/2025 01:12,delivery_instruction_update,s93181,android,west,584,TRUE,1
ae00222,c0511,o00539,13/09/2024 09:38,search_route,s16455,android,west,606,TRUE,1
ae00225,c0105,o00659,03/07/2025 18:05,search_route,s69038,android,south,401,TRUE,1
ae00226,c0259,o00918,10/07/2025 21:37,track_order,s12105,android,central,581,TRUE,1
ae00227,c0194,o00918,11/06/2024 02:54,delivery_instruction_update,s26318,ios,riverside,241,TRUE,1
ae00228,c0220,o01213,18/03/2024 10:58,track_order,s31464,android,north,261,TRUE,1
ae00229,c0392,o00450,29/01/2024 03:08,track_order,s32859,ios,riverside,484,TRUE,1
ae00230,c0467,o00698,02/06/2025 00:55,payment_retry,s79237,web,west,368,TRUE,1
ae00231,c0375,o00188,28/02/2024 00:09,chat_opened,s62538,ios,riverside,394,TRUE,1
ae00232,c0475,o00336,10/06/2025 10:39,chat_opened,s19410,ios,north,614,TRUE,1
ae00233,c0144,o00990,06/09/2025 23:35,search_route,s25207,web,south,440,TRUE,1
ae00234,c0447,o00068,16/05/2025 04:24,search_route,s16617,ios,central,718,TRUE,1
ae00235,c0102,o00065,28/07/2024 16:08,track_order,s32192,android,east,531,TRUE,1
ae00236,c0215,o00722,23/08/2024 22:05,payment_retry,s66874,ios,airport,478,TRUE,1
ae00237,c0375,o00581,26/05/2024 13:58,eta_refresh,s75980,android,east,339,TRUE,1
ae00238,c0611,o00098,30/10/2024 02:43,delivery_instruction_update,s27480,web,airport,321,TRUE,1
ae00239,c0291,o00746,15/03/2025 03:20,chat_escalated,s83143,ios,riverside,215,TRUE,1
ae00240,c0109,o00771,08/12/2025 03:46,chat_opened,s68728,android,ctr,895,TRUE,1
ae00241,c0024,o00814,28/06/2024 06:51,chat_opened,s22478,ios,riverside,624,TRUE,1
ae00242,c0070,o00627,18/04/2024 10:54,delivery_instruction_update,s59972,ios,central,792,TRUE,1
ae00243,c0217,o00878,05/07/2024 13:59,chat_opened,s89574,android,north,646,TRUE,1
ae00244,c0355,o01236,17/02/2024 00:42,chat_escalated,s49312,android,east,487,FALSE,0
ae00245,c0159,o00570,25/06/2025 22:42,search_route,s22380,web,south,757,TRUE,1
ae00246,c0173,o00188,26/09/2025 08:26,search_route,s73690,ios,east,490,TRUE,1
ae00248,c0558,o01118,14/02/2024 07:02,payment_retry,s95292,ios,riverside,488,TRUE,1
ae00251,c0623,o00162,16/02/2024 23:07,payment_retry,s96369,android,central,375,TRUE,1
ae00252,c0202,o00936,24/04/2024 05:08,track_order,s97343,ios,airport,278,TRUE,1
ae00253,c0485,o01098,13/12/2025 20:05,chat_escalated,s76383,android,west,799,TRUE,1
ae00254,c0419,o00265,19/03/2024 05:42,track_order,s69799,ios,east,543,TRUE,1
ae00255,c0563,o00972,11/04/2024 10:46,payment_retry,s15134,android,central,376,TRUE,1
ae00256,c0447,o00220,08/10/2025 16:41,delivery_instruction_update,s35671,android,south,466,TRUE,1
ae00258,c0489,o00812,24/09/2025 21:15,payment_retry,s53794,web,riverside,60,FALSE,0
ae00259,c0055,o01208,21/06/2025 16:57,delivery_instruction_update,s66374,ios,west,247,TRUE,1
ae00260,c0109,o00932,25/10/2024 12:28,cancel_attempt,s74608,web,airport,350,TRUE,1
ae00261,c0433,o00167,10/02/2025 10:12,search_route,s51615,android,riverside,236,TRUE,1
ae00262,c0079,o00532,21/12/2024 16:48,search_route,s78668,web,east,392,TRUE,1
ae00263,c0330,o01163,14/02/2024 18:08,track_order,s98156,web,riverside,60,TRUE,1
ae00265,c0192,o01137,06/11/2024 03:00,chat_opened,s53981,android,central,1240,TRUE,1
ae00266,c0378,o00856,12/12/2024 10:44,search_route,s22322,android,airport,536,TRUE,1
ae00268,c0377,o01202,04/05/2024 16:58,eta_refresh,s22564,ios,west,429,TRUE,1
ae00269,c0325,o00863,15/08/2025 22:29,delivery_instruction_update,s64498,android,riverside,304,TRUE,1
ae00270,c0578,o00326,09/09/2025 01:15,chat_opened,s29661,android,airport,503,TRUE,1
ae00271,c0322,o01193,19/10/2025 21:23,search_route,s43982,web,north,627,TRUE,1
ae00272,c0338,o01203,02/03/2025 04:57,eta_refresh,s33897,ios,east,190,TRUE,1
ae00273,c0433,o01067,28/05/2024 05:11,track_order,s48118,web,riverside,134,TRUE,1
ae00274,c0049,o01167,27/09/2025 15:25,track_order,s94086,android,riverside,495,TRUE,1
ae00275,c0485,o00676,12/06/2024 17:54,delivery_instruction_update,s57005,android,north,279,TRUE,1
ae00276,c0111,o01221,21/01/2025 11:43,search_route,s73488,android,south,300,TRUE,1
ae00277,c0580,o00409,26/12/2024 15:48,payment_retry,s59602,android,west,552,FALSE,0
ae00278,c0337,o01073,12/11/2024 03:16,chat_opened,s88214,android,ctr,421,TRUE,1
ae00279,c0112,o01215,20/02/2025 21:24,track_order,s90848,android,north,582,TRUE,1
ae00280,c0456,o00907,31/12/2025 18:05,track_order,s12463,ios,north,251,TRUE,1
ae00281,c0310,o00397,06/03/2024 12:05,search_route,s39460,android,south,457,TRUE,1
ae00283,c0589,o00589,19/09/2024 14:25,payment_retry,s32645,android,south,362,TRUE,1
ae00284,c0604,o00371,26/10/2025 11:28,search_route,s76025,android,east,60,TRUE,1
ae00285,c0440,o00539,25/12/2025 16:11,search_route,s17327,ios,airport,414,TRUE,1
ae00287,c0573,o00074,02/05/2024 05:45,search_route,s30431,android,east,571,TRUE,1
ae00288,c0273,o00480,21/07/2025 17:12,cancel_attempt,s63671,android,north,60,TRUE,1
ae00289,c0207,o00654,02/03/2024 10:12,payment_retry,s19707,android,riverside,343,TRUE,1
ae00290,c0399,o00951,01/08/2025 22:46,delivery_instruction_update,s84446,android,east,457,TRUE,1
ae00291,c0312,o00330,17/12/2024 21:44,track_order,s95883,android,west,405,TRUE,1
ae00292,c0520,o00929,16/10/2025 23:21,eta_refresh,s72274,ios,north,60,TRUE,1
ae00293,c0073,o00609,10/07/2024 13:17,chat_escalated,s78813,android,west,1074,TRUE,1
ae00294,c0492,o00876,27/11/2025 02:21,track_order,s33068,android,west,405,TRUE,1
ae00295,c0449,o01002,30/03/2025 00:14,payment_retry,s13138,android,west,246,TRUE,1
ae00296,c0471,o00635,30/06/2025 16:35,eta_refresh,s10325,android,riverside,187,TRUE,1
ae00297,c0411,o01163,25/03/2025 01:02,payment_retry,s30130,ios,central,565,TRUE,1
ae00298,c0107,o01189,14/06/2025 12:47,track_order,s71004,ios,east,78,TRUE,1
ae00300,c0014,o00867,16/08/2024 00:18,eta_refresh,s10509,android,north,214,TRUE,1
ae00302,c0555,o00728,31/03/2025 12:56,chat_opened,s23029,web,north,692,TRUE,1
ae00303,c0274,o00142,01/01/2025 07:52,cancel_attempt,s47090,web,south,233,TRUE,1
ae00304,c0401,o00211,25/10/2025 04:43,search_route,s24776,web,north,324,TRUE,1
ae00305,c0428,o00667,12/02/2024 16:22,eta_refresh,s55317,ios,east,226,TRUE,1
ae00306,c0401,o00753,28/08/2024 19:44,chat_escalated,s68086,ios,east,265,TRUE,1
ae00307,c0173,o00956,09/01/2025 16:55,chat_escalated,s58130,android,ctr,270,FALSE,0
ae00308,c0182,o00880,01/04/2025 08:58,eta_refresh,s58033,ios,ctr,535,TRUE,1
ae00309,c0169,o01161,15/12/2024 06:35,delivery_instruction_update,s21517,android,west,295,TRUE,1
ae00310,c0229,o01161,25/09/2025 04:08,chat_opened,s21891,ios,west,206,TRUE,1
ae00313,c0337,o00032,18/11/2025 21:27,track_order,s88456,android,west,400,TRUE,1
ae00314,c0047,o00755,20/12/2024 19:40,cancel_attempt,s71075,ios,south,579,TRUE,1
ae00315,c0137,o00044,13/02/2025 08:27,delivery_instruction_update,s89689,android,west,296,TRUE,1
ae00316,c0304,o01244,17/02/2025 13:00,eta_refresh,s25067,android,airport,440,TRUE,1
ae00317,c0014,o00912,03/05/2025 14:40,track_order,s67860,web,riverside,584,TRUE,1
ae00318,c0031,o00212,01/01/2024 15:57,track_order,s16209,ios,airport,668,TRUE,1
ae00320,c0244,o00884,29/10/2024 23:06,chat_opened,s67074,android,north,60,TRUE,1
ae00321,c0239,o00437,01/02/2024 21:51,search_route,s46797,ios,riverside,356,TRUE,1
ae00322,c0481,o00344,26/01/2024 21:37,eta_refresh,s17051,android,riverside,147,TRUE,1
ae00323,c0648,o01237,11/03/2025 03:52,payment_retry,s20836,ios,ctr,752,FALSE,0
ae00324,c0078,o00721,22/05/2025 15:38,eta_refresh,s34536,web,east,310,TRUE,1
ae00325,c0479,o00062,29/06/2024 12:26,eta_refresh,s70624,android,north,180,TRUE,1
ae00326,c0518,o00946,01/07/2025 13:21,track_order,s29534,ios,airport,202,TRUE,1
ae00327,c0186,o00341,13/02/2024 16:18,search_route,s92655,web,central,311,TRUE,1
ae00329,c0172,o00193,21/08/2024 13:52,track_order,s67439,android,airport,387,TRUE,1
ae00330,c0479,o00220,04/06/2024 23:57,payment_retry,s57427,web,airport,577,TRUE,1
ae00332,c0247,o00391,23/04/2024 06:44,chat_opened,s99938,android,west,409,TRUE,1
ae00333,c0138,o00453,05/05/2024 18:40,chat_opened,s20673,ios,north,944,TRUE,1
ae00335,c0520,o00499,01/08/2025 01:29,chat_opened,s97260,ios,east,389,TRUE,1
ae00337,c0529,o00319,19/05/2025 05:31,search_route,s60782,ios,airport,385,TRUE,1
ae00338,c0257,o00890,01/08/2024 09:26,payment_retry,s92069,android,south,523,TRUE,1
ae00340,c0330,o00762,11/06/2024 14:01,track_order,s97505,ios,east,444,TRUE,1
ae00341,c0537,o01121,24/06/2025 07:43,chat_opened,s44241,ios,riverside,527,TRUE,1
ae00342,c0245,o00134,26/02/2025 11:20,delivery_instruction_update,s34258,android,west,897,TRUE,1
ae00345,c0535,o01106,25/10/2025 23:21,track_order,s27492,ios,north,425,TRUE,1
ae00346,c0367,o00864,24/07/2025 12:46,track_order,s85123,android,east,466,TRUE,1
ae00348,c0470,o00950,06/05/2025 06:45,chat_opened,s12702,android,central,73,TRUE,1
ae00349,c0568,o00258,01/07/2025 01:46,search_route,s68625,android,ctr,599,TRUE,1
ae00350,c0440,o00649,11/07/2024 13:26,chat_escalated,s55047,web,riverside,431,TRUE,1
ae00352,c0372,o01052,04/07/2025 15:37,payment_retry,s40310,android,east,339,FALSE,0
ae00353,c0467,o01164,19/06/2025 03:46,track_order,s84118,web,airport,1240,TRUE,1
ae00354,c0240,o00522,31/12/2025 09:17,payment_retry,s88059,ios,airport,224,TRUE,1
ae00355,c0024,o00498,05/09/2025 07:19,eta_refresh,s50272,web,ctr,162,TRUE,1
ae00357,c0237,o00715,31/03/2024 09:46,track_order,s58207,android,west,155,TRUE,1
ae00359,c0246,o00285,20/07/2025 17:10,chat_opened,s75742,android,north,421,TRUE,1
ae00361,c0107,o01138,11/08/2024 22:50,chat_opened,s52326,android,airport,1690,TRUE,1
ae00362,c0110,o00472,18/05/2025 06:34,cancel_attempt,s41990,android,central,712,TRUE,1
ae00364,c0442,o00437,28/12/2025 12:16,chat_opened,s62470,android,west,191,TRUE,1
ae00366,c0303,o00876,12/02/2025 17:14,track_order,s28427,ios,east,374,TRUE,1
ae00368,c0198,o00108,13/05/2024 12:41,eta_refresh,s81518,ios,south,690,TRUE,1
ae00369,c0233,o00056,03/07/2025 19:28,payment_retry,s64693,android,south,767,TRUE,1
ae00370,c0143,o00349,04/11/2025 05:48,track_order,s81391,android,south,248,TRUE,1
