driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
d133,south,contract,12,88.2,3.99,flexible,TRUE
d134,south,parttime,4,61.5,3.59,flexible,TRUE
d135,riverside,parttime,2,70.3,4.4,flexible,TRUE
d136,airport,fulltime,4,89.5,3.99,evening,TRUE
d137,north,contract,10,65.6,4.4,flexible,TRUE
d138,central,parttime,11,69.2,4.61,evening,TRUE
d139,south,fulltime,10,71.4,4.99,evening,TRUE
d140,north,fulltime,7,80.1,3.92,morning,TRUE
d141,north,parttime,14,71.4,3.44,flexible,TRUE
d142,airport,fulltime,12,98.7,4.23,night,TRUE
d143,central,fulltime,6,68.5,4.14,night,TRUE
d144,west,fulltime,6,85,3.83,morning,TRUE
d145,north,fulltime,11,68.4,4.09,morning,TRUE
d147,west,fulltime,13,66.4,3.8,night,TRUE
d148,central,parttime,10,53.1,4.4,flexible,TRUE
d149,airport,fulltime,7,81.5,4.55,night,TRUE
d150,east,fulltime,12,88.1,4.08,night,TRUE
d151,east,fulltime,2,71.3,4.69,flexible,TRUE
d153,east,fulltime,8,82.3,3.83,evening,TRUE
d154,airport,fulltime,4,67,4.35,evening,TRUE
d155,central,parttime,6,69.5,3.98,morning,TRUE
d156,south,fulltime,14,84.5,3.62,evening,TRUE
d157,south,fulltime,13,74.1,4.42,evening,TRUE
d158,central,fulltime,5,81.4,4.45,morning,TRUE
d159,airport,fulltime,11,68.6,4.18,morning,TRUE
d160,east,fulltime,12,72.8,4.48,morning,TRUE
d161,north,fulltime,1,84.7,4.02,evening,TRUE
d162,riverside,contract,11,69,4.62,night,TRUE
d163,riverside,fulltime,11,78.2,4.5,morning,FALSE
d164,central,fulltime,5,76.1,4.07,flexible,TRUE
d165,north,parttime,10,82.2,3.89,night,TRUE
d166,west,parttime,7,74.6,4.07,night,TRUE
d167,south,parttime,12,75.3,4.64,night,TRUE
d168,north,fulltime,12,93.6,3.84,morning,TRUE
d169,east,contract,5,77.6,3.81,flexible,TRUE
d170,west,fulltime,14,75.2,4.48,morning,TRUE
