incident_id,delivery_id,incident_type,reported_at,severity,resolution_status,resolved_hours
i0054,dl00324,proofmissing,14/08/2024,low,closed,17
i0055,dl00633,routedeviation,11/12/2024,high,open,21.5
i0056,dl00788,vehiclefault,07/05/2025,low,pendingvendor,14.5
i0057,dl00766,proofmissing,27/01/2025,high,open,6.7
i0058,dl00285,vehiclefault,22/06/2025,low,open,14.9
i0059,dl00670,vehiclefault,30/08/2024,high,closed,15.7
i0060,dl00080,vehiclefault,14/10/2025,low,closed,1
i0061,dl00121,temperatureissue,14/03/2024,medium,open,20.1
i0062,dl00481,temperatureissue,14/03/2024,low,closed,23.5
i0063,dl00669,routedeviation,01/06/2025,low,open,13.3
i0064,dl00366,customernoshow,24/07/2025,medium,closed,18.6
i0065,dl00435,proofmissing,13/09/2024,low,closed,10.3
i0066,dl00042,routedeviation,04/10/2024,low,closed,28
i0067,dl00096,vehiclefault,18/03/2025,medium,closed,2.9
i0068,dl00799,customernoshow,25/04/2024,low,open,16.6
i0069,dl00592,temperatureissue,19/01/2024,medium,closed,9
i0070,dl00250,customernoshow,27/08/2024,low,open,9.5
i0071,dl00672,proofmissing,27/05/2025,critical,closed,8.2
i0072,dl00503,vehiclefault,15/03/2024,medium,closed,1.4
i0073,dl00725,routedeviation,29/11/2025,high,open,3.2
i0074,dl00256,appsyncerror,22/01/2025,medium,pendingvendor,21.7
i0075,dl00568,proofmissing,11/11/2024,low,closed,4.5
i0076,dl00382,routedeviation,05/12/2024,medium,closed,3
i0077,dl00455,proofmissing,12/04/2024,medium,closed,14.2
i0078,dl00562,batteryalert,14/12/2024,low,closed,4.7
i0079,dl00187,proofmissing,05/03/2024,high,open,1.1
i0080,dl00336,proofmissing,21/02/2025,critical,open,27.8
i0081,dl00224,appsyncerror,20/01/2025,high,closed,20.3
i0082,dl00131,batteryalert,05/07/2025,high,escalated,13
i0083,dl00820,proofmissing,13/12/2024,high,pendingvendor,9
i0084,dl00478,temperatureissue,31/01/2024,high,pendingvendor,0
i0085,dl00928,routedeviation,31/10/2025,low,pendingvendor,6
i0086,dl00247,customernoshow,31/12/2024,low,pendingvendor,7.2
i0088,dl00348,proofmissing,08/10/2024,high,escalated,2.2
i0089,dl00915,routedeviation,28/11/2024,high,closed,13.8
i0090,dl00576,proofmissing,17/11/2024,high,closed,2.6
i0091,dl00239,temperatureissue,14/08/2024,medium,closed,23.1
i0093,dl00056,appsyncerror,22/10/2024,medium,pendingvendor,12.3
i0094,dl00887,customernoshow,10/06/2025,high,pendingvendor,12.5
i0095,dl00317,proofmissing,15/12/2024,low,closed,7.9
i0096,dl00748,customernoshow,30/05/2025,low,pendingvendor,7.4
i0097,dl00629,customernoshow,23/05/2024,medium,closed,0.2
i0098,dl00810,temperatureissue,09/03/2025,critical,pendingvendor,2.8
i0099,dl00309,vehiclefault,29/06/2024,critical,open,2.8
i0100,dl00306,customernoshow,15/12/2024,high,closed,0.4
i0101,dl00578,vehiclefault,21/02/2024,low,pendingvendor,10.9
i0102,dl00857,vehiclefault,29/10/2025,critical,pendingvendor,26.7
i0103,dl00655,proofmissing,10/09/2025,low,closed,41.7
i0104,dl00094,appsyncerror,26/05/2025,medium,open,4.8
i0105,dl00913,customernoshow,18/05/2024,critical,open,10
i0106,dl00754,routedeviation,21/03/2025,medium,pendingvendor,10.2
i0107,dl00612,batteryalert,05/12/2024,low,closed,9.7
i0109,dl00760,routedeviation,23/07/2024,high,open,20.3
i0110,dl00855,temperatureissue,08/01/2025,medium,closed,31.4
i0112,dl00627,batteryalert,19/03/2024,high,open,1.7
i0113,dl00562,appsyncerror,14/12/2024,medium,closed,16.8
i0114,dl00373,routedeviation,20/01/2024,low,closed,20.6
i0115,dl00027,batteryalert,01/01/2024,critical,open,15.4
i0116,dl00019,safetynearmiss,26/06/2024,critical,escalated,12.1
i0117,dl00911,routedeviation,17/04/2025,high,pendingvendor,0.6
i0118,dl00778,safetynearmiss,28/09/2024,high,escalated,13.9
i0119,dl00273,appsyncerror,16/10/2025,high,closed,3.7
i0120,dl00169,vehiclefault,26/04/2025,high,closed,0.4
i0121,dl00859,appsyncerror,21/09/2024,medium,closed,4.9
i0122,dl00518,routedeviation,15/04/2025,high,open,18.1
i0123,dl00939,customernoshow,10/01/2025,medium,closed,20.1
i0124,dl00324,temperatureissue,14/08/2024,critical,closed,4.9
i0125,dl00511,routedeviation,30/12/2025,medium,open,11.4
i0126,dl00688,routedeviation,24/10/2025,medium,closed,6.7
i0127,dl00404,temperatureissue,03/04/2024,low,escalated,13.1
i0128,dl00743,routedeviation,01/05/2025,low,open,19.5
i0129,dl00456,proofmissing,16/09/2024,medium,closed,15.5
i0130,dl00496,customernoshow,23/04/2024,critical,open,14.6
i0131,dl00577,temperatureissue,12/01/2024,medium,closed,12
i0132,dl00768,temperatureissue,29/01/2024,medium,closed,4.9
i0133,dl00523,vehiclefault,26/05/2024,critical,closed,14.2
i0134,dl00423,batteryalert,05/10/2025,medium,open,3.8
i0136,dl00414,customernoshow,12/03/2024,high,closed,16.1
i0137,dl00525,batteryalert,22/04/2024,low,closed,1
i0139,dl00126,proofmissing,09/04/2024,medium,pendingvendor,11.4
i0140,dl00790,routedeviation,26/10/2024,high,open,10.9
i0141,dl00294,routedeviation,20/10/2025,low,closed,18
i0142,dl00192,safetynearmiss,18/08/2025,medium,escalated,14.4
i0143,dl00848,vehiclefault,12/02/2024,high,open,14.5
i0144,dl00288,customernoshow,20/06/2024,medium,open,5.5
i0145,dl00418,batteryalert,02/11/2024,critical,closed,10.2
i0146,dl00291,proofmissing,27/11/2024,low,closed,1.5
i0147,dl00771,customernoshow,11/08/2024,medium,closed,19.6
i0148,dl00247,routedeviation,31/12/2024,low,closed,18.6
i0149,dl00944,customernoshow,10/01/2024,medium,closed,3.1
i0150,dl00714,proofmissing,06/10/2025,medium,pendingvendor,3.1
i0151,dl00569,customernoshow,07/11/2025,low,open,24.2
i0152,dl00548,appsyncerror,25/06/2024,medium,pendingvendor,17.6
i0153,dl00766,appsyncerror,27/01/2025,medium,closed,10.5
i0154,dl00603,batteryalert,16/03/2024,medium,open,13
i0155,dl00507,routedeviation,30/04/2025,high,open,18.4
i0156,dl00772,vehiclefault,24/10/2024,high,escalated,10.8
i0157,dl00307,temperatureissue,22/09/2024,medium,closed,7.2
i0158,dl00308,customernoshow,16/01/2024,high,closed,4.6
i0159,dl00776,vehiclefault,19/11/2024,medium,closed,1.4
i0160,dl00806,batteryalert,28/12/2025,low,closed,10.2
i0161,dl00402,appsyncerror,04/12/2024,medium,pendingvendor,8.9
i0162,dl00231,temperatureissue,28/03/2024,medium,open,12.9
i0163,dl00062,appsyncerror,24/02/2024,medium,open,4.9
i0164,dl00844,routedeviation,03/01/2025,critical,closed,15.9
i0165,dl00057,vehiclefault,09/12/2024,medium,open,0.1
i0166,dl00529,temperatureissue,01/09/2024,high,escalated,8.1
i0167,dl00364,batteryalert,14/01/2024,low,pendingvendor,15.2
i0168,dl00820,temperatureissue,13/12/2024,high,closed,7.1
i0169,dl00443,customernoshow,01/01/2024,low,pendingvendor,9.1
i0170,dl00009,batteryalert,12/04/2024,medium,closed,7.4
i0171,dl00900,vehiclefault,02/10/2024,high,open,18.4
i0172,dl00508,routedeviation,19/08/2024,high,pendingvendor,4.3
i0173,dl00300,customernoshow,25/09/2024,medium,open,17.9
i0175,dl00095,routedeviation,08/01/2024,medium,open,18.6
i0177,dl00068,routedeviation,19/02/2024,critical,escalated,18.1
i0178,dl00500,customernoshow,01/09/2024,low,pendingvendor,20.1
i0179,dl00907,batteryalert,17/04/2024,low,closed,6.9
i0180,dl00001,proofmissing,18/06/2024,high,open,5.6
i0181,dl00254,customernoshow,29/12/2024,low,open,25.3
i0182,dl00476,appsyncerror,06/05/2024,medium,pendingvendor,10.3
i0183,dl00783,proofmissing,20/02/2025,low,closed,11.8
i0184,dl00688,batteryalert,24/10/2025,medium,open,7.2
i0185,dl00446,routedeviation,21/10/2025,high,closed,5.1
i0186,dl00933,proofmissing,23/12/2025,medium,open,16.3
i0187,dl00404,proofmissing,03/04/2024,high,closed,5.6
i0188,dl00274,batteryalert,13/01/2025,low,open,11.5
i0189,dl00596,routedeviation,22/06/2025,high,escalated,23.7
i0190,dl00804,proofmissing,09/11/2025,medium,closed,7.2
i0191,dl00358,appsyncerror,22/11/2025,medium,closed,12.9
i0192,dl00922,batteryalert,08/03/2024,medium,closed,0.1
i0193,dl00469,vehiclefault,10/04/2025,high,open,9.1
i0194,dl00455,customernoshow,12/04/2024,low,escalated,6
i0195,dl00810,temperatureissue,09/03/2025,medium,escalated,16.3
i0196,dl00013,vehiclefault,26/01/2025,medium,closed,0.2
i0197,dl00747,vehiclefault,10/11/2025,medium,pendingvendor,11.2
i0198,dl00765,proofmissing,01/01/2024,medium,open,3.1
i0199,dl00190,proofmissing,01/11/2025,medium,open,33.8
i0200,dl00938,temperatureissue,04/04/2024,low,pendingvendor,16.7
i0201,dl00170,routedeviation,04/06/2025,medium,pendingvendor,8.2
i0202,dl00661,proofmissing,01/12/2024,high,closed,5
i0203,dl00475,safetynearmiss,03/06/2024,medium,open,13.2
i0204,dl00553,appsyncerror,03/07/2024,low,open,27.4
i0205,dl00253,proofmissing,30/09/2024,low,closed,13.5
i0206,dl00331,appsyncerror,23/11/2025,low,escalated,9.2
i0207,dl00947,customernoshow,25/10/2024,low,open,14.7
i0209,dl00434,proofmissing,28/09/2024,high,closed,2.3
i0210,dl00650,vehiclefault,29/11/2025,medium,open,4
i0211,dl00943,routedeviation,17/03/2024,low,escalated,11.6
i0212,dl00391,routedeviation,05/11/2024,medium,closed,2.3
i0213,dl00855,batteryalert,08/01/2025,medium,open,17.7
i0215,dl00299,routedeviation,29/04/2024,critical,open,8.6
i0217,dl00205,routedeviation,18/09/2024,low,closed,19.2
i0218,dl00463,batteryalert,17/09/2025,medium,pendingvendor,18.1
i0219,dl00739,appsyncerror,03/11/2025,medium,pendingvendor,5.5
i0220,dl00894,batteryalert,18/11/2025,medium,closed,12.7
i0221,dl00329,customernoshow,01/10/2025,critical,closed,3.2
i0223,dl00545,batteryalert,16/06/2024,high,escalated,17.3
i0224,dl00325,vehiclefault,06/11/2024,medium,open,8.4
i0225,dl00447,vehiclefault,12/04/2025,medium,pendingvendor,1.6
i0226,dl00248,temperatureissue,22/08/2025,low,closed,12.5
i0227,dl00139,vehiclefault,05/08/2025,low,open,7.1
i0228,dl00038,batteryalert,26/10/2025,medium,closed,11.8
i0229,dl00557,vehiclefault,19/11/2024,medium,pendingvendor,12.8
i0230,dl00578,temperatureissue,21/02/2024,medium,escalated,1.3
i0231,dl00272,customernoshow,02/09/2025,low,open,2.5
i0232,dl00464,temperatureissue,02/05/2024,medium,pendingvendor,29.3
i0233,dl00673,safetynearmiss,29/09/2024,high,pendingvendor,0.4
i0234,dl00194,customernoshow,07/08/2025,critical,closed,10.2
i0235,dl00339,appsyncerror,22/06/2025,high,open,2.1
i0236,dl00108,customernoshow,08/11/2024,low,closed,11.7
i0237,dl00397,proofmissing,10/03/2024,critical,closed,11.8
i0238,dl00336,safetynearmiss,21/02/2025,low,closed,4
i0239,dl00239,customernoshow,14/08/2024,medium,escalated,10.8
i0240,dl00213,customernoshow,16/10/2025,low,closed,14.9
i0241,dl00189,customernoshow,05/11/2024,high,escalated,21
i0242,dl00798,appsyncerror,01/08/2024,low,closed,16.5
i0243,dl00052,customernoshow,06/05/2025,medium,closed,25.6
i0244,dl00421,appsyncerror,06/07/2025,critical,closed,10.3
i0245,dl00347,proofmissing,09/12/2024,low,open,20.8
i0246,dl00720,temperatureissue,13/10/2025,high,escalated,8.2
i0248,dl00371,batteryalert,31/03/2024,high,open,18.5
i0249,dl00404,safetynearmiss,03/04/2024,medium,pendingvendor,6.4
i0250,dl00378,customernoshow,14/05/2025,high,closed,33.9
i0252,dl00016,vehiclefault,12/06/2025,medium,pendingvendor,3.8
i0253,dl00388,proofmissing,11/12/2024,low,pendingvendor,21
i0254,dl00275,vehiclefault,09/02/2025,high,closed,23.6
i0255,dl00468,batteryalert,20/04/2025,high,escalated,22.9
i0256,dl00073,temperatureissue,23/07/2025,critical,closed,20
i0257,dl00075,vehiclefault,06/08/2024,medium,closed,3
i0258,dl00036,appsyncerror,09/11/2024,low,open,19.9
i0259,dl00703,proofmissing,24/04/2025,critical,open,9.6
i0260,dl00800,vehiclefault,20/04/2024,low,pendingvendor,6.1
i0261,dl00599,customernoshow,20/02/2025,critical,closed,19
i0262,dl00674,safetynearmiss,16/01/2024,low,open,6.5
i0263,dl00945,routedeviation,24/01/2025,low,closed,2.5
i0264,dl00772,vehiclefault,24/10/2024,high,escalated,21.2
i0265,dl00734,customernoshow,20/01/2025,high,open,2.1
i0266,dl00608,vehiclefault,28/12/2024,medium,open,4.9
i0267,dl00874,appsyncerror,08/03/2025,high,escalated,15.2
i0268,dl00108,routedeviation,08/11/2024,low,open,17.5
i0269,dl00153,routedeviation,05/08/2024,low,closed,23.3
i0270,dl00539,temperatureissue,13/05/2024,low,escalated,8.4
i0272,dl00050,batteryalert,05/09/2025,high,closed,20.3
i0273,dl00369,customernoshow,12/02/2024,medium,closed,15.8
i0274,dl00561,temperatureissue,20/07/2024,critical,closed,2.7
i0275,dl00804,routedeviation,09/11/2025,low,closed,16.9
i0276,dl00472,safetynearmiss,01/12/2025,high,pendingvendor,6.5
i0277,dl00116,customernoshow,14/10/2025,low,closed,18.1
i0278,dl00725,temperatureissue,29/11/2025,low,closed,17.8
i0279,dl00089,appsyncerror,01/04/2025,low,open,20.1
i0280,dl00219,batteryalert,07/08/2024,medium,pendingvendor,0.4
