vehicle_id,vehicle_type,assigned_zone,commission_date,battery_health_pct,odometer_km,maintenance_status,telematics_version
v069,hybrid,central,2025-07-20 18:17:00,71.4,187158,active,v2.1
v070,cargovan,north,2025-10-24 17:32:00,62.6,39859,inrepair,v2.0
v071,ev,west,2024-05-27 18:12:00,73.8,195310,scheduled,v1.9
v072,cargovan,airport,2025-02-24 19:07:00,78.1,89109,inrepair,v2.1
v074,cargovan,east,2025-06-05 03:01:00,62.4,18034,active,v2.1
v075,diesel,west,2024-04-12 02:10:00,85.5,32441,inrepair,v2.1
v076,diesel,central,2025-06-19 15:52:00,65.8,106063,inrepair,v1.9
v077,ev,south,2025-04-23 19:27:00,67.6,116877,scheduled,v2.1
v078,cargovan,north,2024-03-04 20:00:00,78.4,153638,active,v2.1
v079,ev,airport,2025-12-01 18:20:00,100.0,117995,active,v2.2
v080,ev,east,2024-05-27 22:15:00,100.0,68844,active,v1.9
v081,ev,west,2024-12-28 08:10:00,86.6,165481,active,v2.2
v082,ev,ctr,2024-02-03 08:40:00,81.2,81518,active,v2.1
v083,cargovan,north,2024-04-11 18:04:00,79.3,42073,active,v2.2
v084,cargovan,riverside,2024-12-23 06:28:00,47.6,53872,inrepair,v2.1
v085,cargovan,south,2025-09-30 12:01:00,87.3,145652,active,v2.1
v086,ev,central,2024-02-25 07:56:00,82.8,42307,scheduled,v2.2
v087,hybrid,airport,2025-02-09 18:48:00,49.7,116811,active,v2.1
v088,diesel,north,2024-02-14 14:03:00,80.3,50427,inrepair,v2.1
v089,cargovan,central,2025-09-27 07:15:00,93.6,136082,inrepair,v1.9
v090,hybrid,west,2024-08-16 01:10:00,93.8,98472,inrepair,v2.0
v091,hybrid,east,2025-08-24 05:20:00,58.5,172956,active,v1.9
v092,hybrid,east,2024-01-07 14:19:00,80.5,36143,inrepair,v2.1
v093,cargovan,central,2025-03-04 19:16:00,69.2,119136,scheduled,v2.0
v094,cargovan,central,2025-05-22 02:15:00,65.9,159262,scheduled,v1.9
v095,cargovan,riverside,2025-11-24 12:43:00,79.0,104553,inrepair,v2.0
v096,cargovan,east,2025-08-21 07:26:00,85.1,193315,inrepair,v2.0
v097,ev,ctr,2024-11-12 12:56:00,92.1,18680,active,v2.1
v098,diesel,west,2025-12-29 15:01:00,69.7,73011,active,v2.1
v099,hybrid,south,2024-09-06 02:11:00,65.8,92896,active,v2.0
v100,cargovan,east,2024-06-23 11:24:00,60.1,31876,active,v2.0
v101,hybrid,north,2024-07-10 00:56:00,84.8,106932,inrepair,v2.1
v102,ev,west,2024-10-24 12:35:00,77.0,198326,active,v2.0
v103,hybrid,north,2025-01-06 03:21:00,100.0,181609,inrepair,v2.1
v104,ev,east,2025-06-30 12:21:00,73.9,91441,active,v2.1
v106,cargovan,north,2024-05-06 13:52:00,74.9,93084,active,v2.1
v107,cargovan,north,2024-12-25 17:15:00,87.9,96239,active,v2.0
v108,diesel,airport,2025-01-31 06:29:00,54.6,141290,inrepair,v1.9
v109,hybrid,airport,2024-10-17 11:15:00,60.6,193552,inrepair,v2.1
v110,ev,east,2025-03-22 01:17:00,85.1,63717,active,v2.1
v111,ev,west,2025-11-11 00:21:00,66.3,208147,active,v2.1
v112,ev,south,2024-06-08 07:45:00,94.1,19121,inrepair,v2.1
v113,hybrid,central,2024-05-12 02:12:00,58.9,52725,inrepair,v1.9
v114,hybrid,north,2024-10-03 17:53:00,90.0,84649,active,v2.2
v115,diesel,south,2024-05-10 17:28:00,57.9,85919,active,v2.2
v116,diesel,east,2025-04-23 07:10:00,62.7,71822,active,v2.1
v117,hybrid,south,2025-01-11 11:13:00,65.5,163683,scheduled,v2.2
v118,diesel,riverside,2025-02-18 12:40:00,78.0,145165,active,v2.1
v119,ev,riverside,2025-08-17 06:19:00,67.6,215407,inrepair,v2.1
v120,ev,central,2025-05-02 16:13:00,73.6,192246,active,v2.0
