driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag
d147,west,fulltime,13,66.4,3.8,night,True
d148,central,parttime,10,53.1,4.4,flexible,True
d149,airport,fulltime,7,81.5,4.55,night,True
d150,east,fulltime,12,88.1,4.08,night,True
d151,east,fulltime,2,71.3,4.69,flexible,True
d153,east,fulltime,8,82.3,3.83,evening,True
d154,airport,fulltime,4,67.0,4.35,evening,True
d155,central,parttime,6,69.5,3.98,morning,True
d156,south,fulltime,14,84.5,3.62,evening,True
d157,south,fulltime,13,74.1,4.42,evening,True
d158,central,fulltime,5,81.4,4.45,morning,True
d159,airport,fulltime,11,68.6,4.18,morning,True
d160,east,fulltime,12,72.8,4.48,morning,True
d161,north,fulltime,1,84.7,4.02,evening,True
d162,riverside,contract,11,69.0,4.62,night,True
d163,riverside,fulltime,11,78.2,4.5,morning,False
d164,central,fulltime,5,76.1,4.07,flexible,True
d165,north,parttime,10,82.2,3.89,night,True
d166,west,parttime,7,74.6,4.07,night,True
d167,south,parttime,12,75.3,4.64,night,True
d168,north,fulltime,12,93.6,3.84,morning,True
d169,east,contract,5,77.6,3.81,flexible,True
d170,west,fulltime,14,75.2,4.48,morning,True
