complaint_id,customer_id,order_id,complaint_type,channel,severity,created_at,status,resolution_days,compensation_amount
cp0053,c0543,o01236,supportexperience,phone,high,2025-05-29,resolved,13,26.07
cp0054,c0224,o00453,delay,app,medium,2024-12-07,resolved,1,36.38
cp0055,c0186,o00836,missedpickup,chatbot,high,2025-09-23,resolved,14,60.3
cp0056,c0368,o00737,delay,email,low,2024-03-20,open,9,7.02
cp0057,c0191,o00125,delay,app,medium,2025-09-23,resolved,5,24.91
cp0058,c0271,o00056,supportexperience,app,medium,2025-10-09,escalated,1,10.06
cp0059,c0351,o00603,delay,email,high,2024-03-04,resolved,11,59.75
cp0060,c0490,o00869,missedpickup,app,low,2024-03-05,resolved,4,0.0
cp0061,c0545,o00980,driverbehaviour,phone,medium,2024-12-07,awaitingcustomer,11,52.16
cp0062,c0162,o00367,delay,email,low,2025-07-16,resolved,14,0.0
cp0063,c0164,o01219,billing,app,high,2025-06-28,escalated,10,51.86
cp0064,c0215,o00311,appissue,chatbot,high,2024-11-30,resolved,5,47.81
cp0065,c0162,o00367,appissue,email,low,2025-07-23,resolved,5,18.74
cp0066,c0552,o00741,appissue,email,medium,2025-06-11,resolved,10,25.09
cp0067,c0599,o00954,missedpickup,app,low,2024-07-22,resolved,6,0.0
cp0068,c0166,o00743,damage,app,low,2024-02-13,resolved,10,0.0
cp0069,c0583,o00163,delay,chatbot,medium,2025-06-20,resolved,4,35.96
cp0070,c0255,o00206,delay,phone,medium,2025-12-20,escalated,7,28.5
cp0071,c0092,o00870,delay,chatbot,medium,2024-11-05,awaitingcustomer,10,17.48
cp0072,c0495,o00581,billing,app,medium,2025-12-10,open,9,20.18
cp0073,c0331,o00073,delay,app,medium,2025-04-07,awaitingcustomer,12,0.0
cp0075,c0071,o00974,delay,phone,low,2025-06-22,resolved,1,7.08
cp0076,c0028,o00290,missedpickup,chatbot,low,2024-09-26,open,15,0.0
cp0077,c0573,o00031,billing,email,high,2024-11-02,resolved,13,58.46
cp0078,c0261,o01162,appissue,email,low,2025-06-09,awaitingcustomer,1,18.23
cp0079,c0498,o00475,delay,chatbot,medium,2024-11-11,resolved,1,0.0
cp0080,c0201,o00789,driverbehaviour,app,medium,2024-12-20,resolved,6,18.79
cp0081,c0051,o01085,delay,app,medium,2024-06-25,open,1,19.53
cp0082,c0578,o00515,delay,app,medium,2024-02-06,escalated,7,10.81
cp0083,c0586,o00098,driverbehaviour,email,medium,2024-04-03,escalated,5,3.16
cp0084,c0647,o00272,driverbehaviour,chatbot,medium,2024-12-16,resolved,9,27.67
cp0085,c0622,o00190,delay,phone,low,2025-01-05,escalated,17,18.19
cp0086,c0627,o00496,supportexperience,phone,medium,2024-06-25,resolved,7,33.83
cp0087,c0321,o01020,missedpickup,phone,low,2024-11-03,resolved,6,13.46
cp0088,c0180,o00285,driverbehaviour,phone,high,2025-01-13,resolved,10,14.63
cp0089,c0296,o01224,appissue,email,low,2024-06-12,resolved,11,0.0
cp0090,c0123,o00333,missedpickup,phone,medium,2025-04-06,resolved,6,24.95
cp0092,c0031,o00263,driverbehaviour,email,high,2024-03-02,escalated,12,46.65
cp0093,c0436,o00832,delay,app,medium,2024-06-11,resolved,2,16.98
cp0094,c0426,o00400,billing,chatbot,low,2025-07-01,resolved,12,10.94
cp0095,c0649,o01240,appissue,chatbot,high,2025-10-11,resolved,12,34.13
cp0096,c0001,o00007,appissue,app,high,2024-05-12,resolved,22,43.9
cp0097,c0282,o01227,driverbehaviour,app,medium,2024-11-07,escalated,15,27.94
cp0098,c0482,o00335,missedpickup,app,medium,2024-01-31,resolved,18,31.16
cp0099,c0110,o00574,appissue,email,medium,2024-05-04,awaitingcustomer,14,11.53
cp0100,c0078,o00476,damage,phone,high,2024-02-28,awaitingcustomer,25,42.71
cp0101,c0119,o00511,driverbehaviour,phone,medium,2024-06-17,resolved,8,0.0
cp0102,c0095,o00843,delay,chatbot,medium,2024-03-08,resolved,6,14.27
cp0103,c0378,o00443,appissue,chatbot,low,2025-10-23,resolved,11,11.6
cp0104,c0257,o00602,appissue,app,medium,2025-12-15,resolved,1,0.0
cp0105,c0538,o00129,missedpickup,chatbot,medium,2024-12-19,resolved,10,30.85
cp0106,c0595,o00145,appissue,chatbot,medium,2024-11-10,resolved,6,11.23
cp0107,c0396,o01024,delay,email,high,2025-12-23,escalated,7,33.22
cp0108,c0595,o00561,delay,chatbot,medium,2025-06-02,resolved,1,13.57
cp0109,c0626,o00314,missedpickup,email,high,2025-02-22,resolved,9,34.05
cp0110,c0564,o00950,appissue,phone,medium,2025-05-29,awaitingcustomer,8,12.12
cp0111,c0051,o00112,appissue,chatbot,medium,2024-09-17,resolved,5,12.4
cp0112,c0421,o00586,missedpickup,app,high,2024-04-09,awaitingcustomer,7,45.85
cp0113,c0174,o00227,missedpickup,app,low,2025-08-13,resolved,5,5.7
cp0114,c0480,o01104,missedpickup,phone,medium,2024-09-27,open,5,0.0
cp0115,c0369,o00709,missedpickup,phone,medium,2025-12-14,open,1,32.02
cp0116,c0287,o00178,damage,app,low,2024-03-31,escalated,3,18.49
cp0117,c0560,o00831,delay,phone,high,2025-03-07,resolved,11,35.62
cp0118,c0272,o00541,delay,chatbot,low,2024-11-11,awaitingcustomer,3,10.75
cp0120,c0558,o00005,missedpickup,phone,medium,2025-02-25,resolved,8,54.41
cp0121,c0421,o00219,billing,phone,medium,2024-06-05,resolved,9,27.42
cp0122,c0619,o00919,appissue,email,high,2025-02-09,awaitingcustomer,9,35.13
cp0123,c0361,o01222,driverbehaviour,app,high,2025-09-20,resolved,23,33.77
cp0124,c0077,o00023,supportexperience,phone,low,2025-10-16,resolved,7,0.0
cp0125,c0647,o01036,appissue,app,low,2024-03-06,resolved,2,3.4
cp0126,c0093,o00369,delay,app,medium,2024-10-04,open,15,12.62
cp0127,c0368,o00737,appissue,app,medium,2024-03-17,resolved,6,1.15
cp0128,c0142,o00795,missedpickup,email,medium,2025-06-17,escalated,6,16.5
cp0129,c0476,o00686,delay,phone,medium,2025-01-13,resolved,4,21.23
cp0130,c0581,o00618,delay,email,high,2025-11-27,awaitingcustomer,12,24.38
cp0131,c0583,o00452,delay,email,high,2025-12-09,open,14,32.48
cp0132,c0552,o00368,appissue,phone,high,2024-12-10,resolved,6,41.06
cp0133,c0480,o01104,delay,app,high,2024-09-21,open,15,38.76
cp0134,c0325,o00167,delay,phone,low,2024-04-29,resolved,6,21.16
cp0135,c0610,o00782,delay,app,medium,2024-04-28,escalated,12,21.82
cp0136,c0412,o00711,delay,chatbot,low,2024-12-15,resolved,3,0.0
cp0137,c0549,o00838,driverbehaviour,app,medium,2025-02-04,resolved,1,14.08
cp0138,c0400,o00296,damage,phone,high,2024-01-18,escalated,6,31.84
cp0139,c0368,o00750,supportexperience,phone,high,2024-02-05,resolved,16,46.47
cp0140,c0177,o00062,missedpickup,email,high,2025-08-01,resolved,11,61.45
cp0141,c0591,o01046,driverbehaviour,app,medium,2026-01-07,resolved,6,11.71
cp0142,c0476,o00087,appissue,chatbot,low,2024-11-19,resolved,3,8.27
cp0143,c0508,o00717,supportexperience,phone,medium,2024-12-18,open,3,16.43
cp0144,c0078,o01121,delay,chatbot,high,2024-06-14,resolved,10,58.9
cp0145,c0436,o01065,appissue,email,low,2024-07-25,resolved,3,21.27
cp0146,c0001,o00666,delay,phone,medium,2025-09-01,resolved,4,0.0
cp0147,c0383,o01172,driverbehaviour,phone,high,2024-09-29,open,15,33.52
cp0148,c0189,o01232,damage,phone,medium,2024-01-22,escalated,9,11.0
cp0149,c0550,o00425,appissue,phone,medium,2024-11-27,resolved,10,38.03
cp0150,c0546,o00458,damage,app,high,2025-04-18,escalated,16,15.85
cp0152,c0023,o01101,delay,app,low,2024-01-16,resolved,14,27.41
cp0153,c0119,o00511,driverbehaviour,chatbot,medium,2024-06-18,resolved,8,20.06
cp0155,c0613,o00999,appissue,email,medium,2024-07-05,escalated,6,18.06
cp0156,c0372,o00943,appissue,chatbot,medium,2025-05-01,resolved,1,0.0
cp0157,c0169,o00998,appissue,app,low,2024-12-06,awaitingcustomer,2,31.26
cp0158,c0110,o01131,delay,app,low,2024-08-20,resolved,2,0.0
cp0159,c0372,o00348,delay,app,high,2025-03-16,escalated,15,34.82
cp0160,c0248,o01134,delay,phone,medium,2025-04-12,awaitingcustomer,9,25.69
cp0161,c0107,o01080,billing,email,high,2025-05-01,open,9,46.94
cp0162,c0138,o00801,missedpickup,phone,medium,2024-04-02,awaitingcustomer,6,22.27
cp0163,c0326,o00045,billing,app,medium,2024-02-19,open,3,11.17
cp0164,c0062,o00468,delay,chatbot,medium,2024-04-01,resolved,13,3.0
cp0165,c0161,o00003,appissue,phone,medium,2025-09-07,open,2,8.66
cp0166,c0465,o00910,driverbehaviour,phone,medium,2025-08-01,open,11,18.57
cp0167,c0578,o00837,damage,chatbot,low,2024-04-26,resolved,1,11.75
cp0168,c0628,o00752,driverbehaviour,email,medium,2025-06-01,resolved,10,30.4
cp0169,c0419,o00879,missedpickup,app,medium,2025-07-08,resolved,9,11.78
cp0170,c0242,o00512,driverbehaviour,app,high,2024-10-01,resolved,16,54.34
cp0171,c0020,o00880,appissue,phone,medium,2024-08-30,escalated,14,18.37
cp0172,c0629,o00216,delay,app,low,2025-05-20,resolved,11,0.0
cp0173,c0212,o00544,delay,app,medium,2024-06-25,resolved,3,52.43
cp0175,c0317,o00551,damage,phone,low,2024-06-19,escalated,11,11.99
cp0176,c0073,o00309,delay,chatbot,medium,2025-10-20,resolved,6,36.04
cp0177,c0046,o00839,delay,chatbot,low,2024-02-09,resolved,2,14.06
cp0179,c0509,o00441,appissue,app,low,2025-04-12,resolved,1,16.17
cp0180,c0485,o00378,damage,chatbot,high,2024-04-07,escalated,18,38.34
cp0181,c0384,o00965,supportexperience,chatbot,medium,2024-10-04,open,3,31.97
cp0182,c0012,o01157,appissue,phone,low,2024-07-09,open,12,15.45
cp0183,c0122,o00259,supportexperience,chatbot,medium,2025-09-13,escalated,4,20.4
cp0184,c0025,o00161,missedpickup,phone,medium,2024-08-20,open,3,19.47
cp0185,c0100,o01151,missedpickup,email,medium,2024-07-03,resolved,6,5.59
cp0186,c0391,o00817,delay,app,medium,2026-01-02,awaitingcustomer,13,13.55
cp0187,c0259,o00351,delay,email,low,2024-04-27,escalated,10,1.93
cp0188,c0139,o00404,billing,phone,low,2025-10-19,resolved,7,8.19
cp0189,c0517,o00166,delay,chatbot,medium,2025-06-08,resolved,9,19.84
cp0190,c0138,o00801,damage,app,low,2024-03-31,awaitingcustomer,6,7.16
cp0191,c0358,o00840,delay,phone,medium,2024-04-07,open,11,14.02
cp0192,c0032,o00440,appissue,email,medium,2024-12-15,resolved,2,18.72
cp0193,c0612,o00467,delay,phone,medium,2024-10-13,awaitingcustomer,1,15.83
cp0194,c0172,o00330,missedpickup,app,medium,2025-04-11,resolved,1,6.47
cp0195,c0110,o01131,delay,phone,high,2024-08-18,open,8,32.61
cp0196,c0505,o01135,damage,phone,medium,2024-11-20,resolved,12,22.87
cp0197,c0611,o00128,delay,phone,medium,2026-01-04,awaitingcustomer,9,0.0
cp0198,c0621,o00609,delay,phone,medium,2024-09-17,resolved,2,8.38
cp0199,c0180,o01018,driverbehaviour,app,high,2024-03-04,awaitingcustomer,13,25.05
cp0200,c0256,o00267,driverbehaviour,phone,medium,2024-01-28,awaitingcustomer,1,8.85
cp0201,c0168,o00485,delay,chatbot,medium,2024-12-01,resolved,13,24.03
cp0202,c0422,o00529,missedpickup,phone,medium,2025-08-21,resolved,7,6.73
cp0203,c0279,o01030,driverbehaviour,phone,medium,2025-09-10,resolved,4,12.46
cp0204,c0140,o00720,delay,chatbot,medium,2024-08-30,open,4,0.0
cp0205,c0104,o01005,missedpickup,app,medium,2025-05-11,awaitingcustomer,5,20.67
cp0206,c0627,o01119,driverbehaviour,app,medium,2024-04-08,resolved,1,13.45
cp0208,c0510,o01125,appissue,phone,high,2025-06-26,awaitingcustomer,20,26.22
cp0209,c0447,o00171,missedpickup,email,low,2025-05-08,escalated,7,9.0
cp0210,c0335,o00229,missedpickup,chatbot,medium,2024-09-11,resolved,10,28.12
cp0211,c0191,o00125,delay,app,low,2025-09-18,resolved,11,13.79
cp0212,c0095,o01064,missedpickup,app,medium,2025-12-27,resolved,3,19.18
cp0213,c0368,o00629,delay,email,medium,2024-10-11,awaitingcustomer,3,22.87
cp0214,c0145,o00048,missedpickup,app,high,2024-11-27,resolved,12,61.85
cp0215,c0533,o00927,supportexperience,chatbot,high,2025-05-17,resolved,15,29.11
cp0216,c0084,o00644,delay,app,medium,2025-11-04,resolved,4,32.45
cp0217,c0571,o00941,driverbehaviour,phone,medium,2024-08-18,resolved,1,6.19
cp0218,c0171,o01039,missedpickup,app,medium,2025-05-13,resolved,7,19.7
cp0219,c0232,o00540,delay,phone,medium,2024-07-03,resolved,6,22.23
cp0220,c0097,o00254,appissue,email,low,2024-09-25,awaitingcustomer,1,8.94
cp0221,c0032,o01034,delay,email,low,2025-06-24,resolved,11,8.34
cp0222,c0282,o00751,delay,email,low,2024-07-01,resolved,4,4.39
cp0223,c0529,o01136,delay,app,low,2024-04-25,resolved,6,2.44
cp0224,c0564,o00950,delay,chatbot,low,2025-05-22,resolved,14,25.81
cp0225,c0531,o00082,missedpickup,phone,medium,2024-07-30,open,11,20.66
cp0226,c0292,o01129,delay,chatbot,low,2025-03-26,resolved,1,6.68
cp0227,c0026,o00621,driverbehaviour,phone,medium,2025-05-17,resolved,8,9.16
cp0228,c0242,o00920,delay,email,medium,2024-08-02,open,8,8.1
cp0229,c0272,o00541,missedpickup,chatbot,low,2024-11-11,escalated,11,4.1
cp0230,c0054,o00445,appissue,app,low,2025-04-26,open,12,0.0
cp0231,c0639,o00774,missedpickup,phone,low,2025-09-22,open,1,20.06
cp0232,c0539,o00520,delay,email,low,2024-07-12,resolved,7,8.32
cp0233,c0339,o00884,missedpickup,email,medium,2024-04-24,resolved,3,10.05
cp0234,c0140,o00720,billing,app,high,2024-08-31,resolved,16,52.03
cp0235,c0611,o00632,delay,chatbot,medium,2024-08-09,resolved,3,32.8
cp0236,c0029,o00430,appissue,phone,medium,2025-01-17,resolved,11,7.71
cp0237,c0508,o01171,driverbehaviour,app,medium,2024-12-21,resolved,8,14.83
cp0238,c0014,o00731,missedpickup,phone,medium,2024-03-14,open,3,36.85
cp0239,c0213,o00931,missedpickup,app,high,2024-03-11,resolved,20,27.41
cp0240,c0428,o00220,driverbehaviour,chatbot,medium,2024-05-31,open,7,0.0
cp0241,c0351,o00989,delay,phone,high,2024-03-17,resolved,14,42.27
cp0242,c0345,o01211,appissue,chatbot,low,2025-11-18,open,7,2.97
cp0243,c0390,o00736,driverbehaviour,chatbot,medium,2024-01-26,escalated,3,23.87
cp0244,c0575,o01168,missedpickup,chatbot,low,2024-12-21,open,1,6.72
cp0245,c0646,o00385,appissue,phone,high,2025-11-02,resolved,17,16.36
cp0246,c0343,o00307,driverbehaviour,email,medium,2025-01-04,resolved,3,15.88
cp0247,c0269,o00573,appissue,email,medium,2024-04-30,resolved,3,14.92
cp0248,c0452,o00116,billing,phone,low,2025-03-16,open,5,1.45
cp0249,c0074,o00824,driverbehaviour,email,low,2024-08-21,open,5,10.32
cp0250,c0626,o00948,delay,email,medium,2025-05-17,escalated,1,0.0
cp0251,c0399,o00169,delay,chatbot,low,2025-12-04,resolved,4,0.0
cp0252,c0142,o00795,missedpickup,email,high,2025-06-19,resolved,13,42.64
cp0253,c0567,o00012,appissue,app,medium,2024-01-25,resolved,13,22.73
cp0254,c0072,o00626,supportexperience,chatbot,low,2025-01-06,awaitingcustomer,1,7.49
cp0255,c0004,o01153,delay,phone,low,2025-01-18,escalated,3,0.0
cp0256,c0191,o00125,appissue,app,medium,2025-09-21,resolved,3,24.06
cp0257,c0381,o00271,driverbehaviour,phone,low,2025-09-25,open,2,10.53
cp0258,c0013,o00531,supportexperience,app,medium,2025-05-06,open,16,9.98
cp0259,c0545,o00959,appissue,app,medium,2024-08-13,awaitingcustomer,12,14.36
cp0260,c0250,o00231,missedpickup,chatbot,high,2024-12-15,resolved,5,24.73
cp0261,c0566,o00249,appissue,email,high,2024-11-10,open,18,47.09
cp0262,c0491,o00438,appissue,chatbot,low,2026-01-06,resolved,8,29.25
cp0263,c0561,o00270,delay,phone,medium,2025-11-07,awaitingcustomer,3,27.52
cp0264,c0054,o01063,missedpickup,email,medium,2024-08-01,escalated,1,12.41
cp0265,c0115,o00336,driverbehaviour,chatbot,low,2024-01-10,escalated,7,14.36
cp0266,c0544,o00050,damage,app,high,2024-03-30,open,15,38.9
cp0267,c0521,o00111,driverbehaviour,app,medium,2025-07-25,awaitingcustomer,3,15.26
cp0268,c0445,o00675,appissue,app,medium,2024-02-27,open,14,37.15
cp0269,c0172,o00330,supportexperience,email,medium,2025-04-20,resolved,3,17.96
cp0270,c0208,o00636,billing,email,medium,2024-06-30,resolved,6,23.97
cp0271,c0573,o00393,delay,chatbot,high,2025-10-08,resolved,18,33.09
cp0272,c0208,o00771,delay,app,medium,2025-07-29,resolved,10,12.97
cp0273,c0010,o00481,delay,phone,medium,2025-04-20,resolved,10,15.73
cp0274,c0622,o00190,supportexperience,app,medium,2025-01-01,awaitingcustomer,7,0.0
cp0275,c0109,o00071,missedpickup,app,medium,2024-09-03,awaitingcustomer,10,18.13
cp0276,c0015,o01124,appissue,phone,high,2024-05-14,resolved,12,19.46
cp0277,c0444,o01088,missedpickup,app,high,2024-12-05,awaitingcustomer,7,46.17
cp0278,c0285,o00483,missedpickup,phone,medium,2024-11-27,escalated,7,12.14
cp0279,c0573,o00031,billing,app,medium,2024-10-27,resolved,1,19.87
cp0280,c0369,o00753,driverbehaviour,email,medium,2025-01-18,resolved,6,3.44
cp0281,c0510,o01125,missedpickup,chatbot,high,2025-06-25,resolved,11,44.57
cp0282,c0335,o00601,driverbehaviour,email,medium,2025-06-03,escalated,4,18.1
cp0283,c0252,o00401,driverbehaviour,email,high,2024-06-30,open,11,61.11
cp0284,c0211,o00545,appissue,phone,medium,2025-04-22,resolved,9,32.59
cp0285,c0172,o00773,missedpickup,app,high,2024-01-25,resolved,12,37.06
cp0288,c0459,o01202,delay,phone,medium,2024-11-14,escalated,5,20.75
cp0289,c0532,o01012,missedpickup,app,medium,2025-03-14,resolved,1,25.56
cp0290,c0259,o00351,supportexperience,app,medium,2024-05-03,resolved,6,18.82
cp0291,c0515,o00588,supportexperience,phone,medium,2024-06-11,awaitingcustomer,7,20.04
cp0292,c0187,o00765,missedpickup,phone,low,2024-07-21,open,11,15.26
cp0293,c0449,o00202,driverbehaviour,phone,medium,2024-02-02,resolved,3,28.0
cp0294,c0339,o00089,appissue,phone,high,2025-04-30,open,19,39.64
cp0295,c0182,o01107,billing,email,medium,2024-01-30,open,1,4.94
cp0296,c0243,o00041,missedpickup,phone,medium,2024-09-17,resolved,1,6.59
cp0297,c0571,o00776,delay,app,low,2025-03-07,resolved,6,5.67
cp0298,c0285,o00483,delay,app,medium,2024-11-19,escalated,1,16.85
cp0300,c0408,o00553,supportexperience,phone,low,2024-01-15,open,14,4.56
cp0301,c0023,o00414,driverbehaviour,phone,medium,2025-04-05,resolved,4,16.83
cp0302,c0372,o00373,missedpickup,chatbot,high,2024-06-03,resolved,8,37.07
cp0303,c0294,o00872,missedpickup,app,low,2024-11-11,open,9,15.19
cp0304,c0178,o00455,delay,phone,medium,2024-08-14,open,7,20.69
cp0305,c0226,o01015,driverbehaviour,chatbot,high,2025-08-08,resolved,11,37.25
cp0306,c0004,o00081,damage,app,high,2025-04-26,resolved,21,35.58
cp0308,c0597,o00865,driverbehaviour,phone,high,2024-03-28,resolved,13,37.97
cp0309,c0175,o01106,damage,email,high,2024-03-01,resolved,7,57.63
cp0310,c0421,o00219,driverbehaviour,phone,high,2024-06-08,resolved,13,45.71
cp0312,c0026,o00341,delay,app,medium,2024-12-23,open,12,19.78
cp0313,c0028,o00290,delay,chatbot,low,2024-09-27,resolved,2,8.86
cp0314,c0378,o00443,supportexperience,app,low,2025-10-28,resolved,6,4.67
cp0315,c0517,o00645,missedpickup,chatbot,high,2024-12-28,resolved,14,58.16
cp0316,c0454,o00055,missedpickup,phone,medium,2025-06-05,resolved,7,12.97
cp0317,c0631,o00406,driverbehaviour,chatbot,medium,2025-01-17,resolved,6,26.52
cp0318,c0056,o00628,delay,app,medium,2024-11-02,open,5,20.42
cp0319,c0325,o00167,delay,email,medium,2024-04-27,resolved,2,11.9
cp0320,c0207,o01179,missedpickup,email,medium,2025-10-16,resolved,1,1.97
