delivery_id,order_id,driver_id,vehicle_id,hub_id,dispatch_time,delivery_completed_at,delivery_status,route_distance_km,manual_route_override_count,proof_of_completion_missing,customer_rating_post_delivery,fuel_or_charge_cost,missing_proof
dl00050,o00534,d065,v046,h06,05:03:00,03:24:00,ontime,26.85,0,False,5.0,14.34,0
dl00051,o00785,d150,v055,h07,17:27:00,18:05:52,ontime,8.02,0,False,4.31,14.59,0
dl00052,o00554,d168,v020,h08,10:37:00,20:57:25,delayed,26.380000000000003,1,True,2.52,24.54,1
dl00053,o00302,d018,v099,h01,18:38:00,17:06:29,ontime,14.14,0,False,3.63,10.32,0
dl00054,o01044,d117,v079,h01,07:41:00,20:37:54,delayed,29.8,1,False,4.7,22.28,0
dl00055,o00819,d069,v018,h04,21:37:00,04:45:04,delayed,35.07,5,True,2.78,22.2,1
dl00056,o00698,d137,v081,h08,21:45:00,22:00:19,ontime,13.46,2,False,4.01,6.52,0
dl00057,o00921,d141,v077,h04,10:53:00,20:18:39,failed,10.91,0,False,1.22,6.59,0
dl00058,o01062,d125,v082,h02,18:46:00,22:22:57,ontime,15.33,0,False,5.0,7.95,0
dl00059,o00521,d027,v088,h05,14:07:00,18:49:47,delayed,36.28,3,False,3.11,17.45,0
dl00061,o00635,d083,v059,h08,06:18:00,05:02:21,ontime,10.51,1,False,3.8,10.6,0
dl00062,o00567,d061,v007,h02,16:31:00,15:31:54,ontime,1.2,0,False,5.0,7.32,0
dl00063,o00931,d154,v094,h03,11:20:00,15:02:37,ontime,15.95,0,False,5.0,14.6,0
dl00064,o01236,d075,v004,h03,00:35:00,23:36:22,delayed,10.36,0,False,2.34,7.13,0
dl00065,o01234,d050,v065,h01,01:55:00,01:52:27,ontime,1.67,1,False,4.63,6.2,0
dl00066,o00568,d118,v083,h01,20:41:00,00:15:32,ontime,22.39,0,False,4.03,18.25,0
dl00067,o00842,d152,v023,h01,04:43:00,14:29:14,ontime,12.34,1,False,4.61,11.04,0
dl00068,o00828,d104,v046,h08,15:15:00,03:47:37,failed,19.75,1,False,3.73,16.14,0
dl00069,o01039,d010,v074,h07,11:46:00,19:43:03,failed,16.76,1,False,4.17,10.73,0
dl00070,o00370,d018,v036,h07,18:37:00,21:57:39,ontime,16.35,0,False,4.64,18.11,0
dl00071,o00796,d093,v080,h02,06:57:00,22:41:11,delayed,20.37,1,False,3.57,18.14,0
dl00072,o00402,d110,v027,h05,06:20:00,19:21:38,delayed,28.51,0,False,3.28,15.11,0
dl00073,o00421,d141,v092,h08,07:06:00,05:47:40,ontime,19.34,3,False,4.68,17.54,0
dl00074,o01195,d030,v092,h04,08:41:00,00:01:18,failed,17.61,1,False,4.42,14.79,0
dl00075,o01239,d169,v047,h02,04:24:00,05:22:04,ontime,13.25,3,False,3.24,11.94,0
dl00076,o00815,d120,v004,h01,17:02:00,17:44:41,ontime,27.51,3,False,5.0,15.16,0
dl00077,o01040,d094,v067,h04,22:16:00,11:51:46,delayed,32.97,3,False,2.81,18.07,0
dl00078,o00173,d144,v088,h02,08:26:00,03:34:49,failed,10.92,1,False,2.87,9.05,0
dl00079,o00920,d009,v102,h08,12:06:00,23:56:00,ontime,7.18,0,False,4.91,12.79,0
dl00080,o01137,d030,v022,h04,08:21:00,08:32:00,ontime,16.29,0,False,4.42,14.17,0
dl00081,o00716,d166,v056,h04,06:38:00,19:18:42,delayed,9.77,1,True,3.58,12.68,1
dl00082,o00669,d008,v048,h03,15:38:00,00:44:17,ontime,3.98,1,False,4.76,5.86,0
dl00083,o00451,d053,v043,h05,18:28:00,13:33:28,delayed,2.13,0,False,1.44,11.27,0
dl00084,o00784,d063,v117,h05,03:24:00,07:43:35,failed,6.83,0,False,3.63,9.07,0
dl00086,o01013,d159,v063,h02,17:32:00,19:39:11,ontime,17.4,0,False,3.75,12.23,0
dl00087,o00630,d034,v099,h07,15:08:00,15:28:40,ontime,17.98,0,False,4.11,13.23,0
dl00088,o00657,d088,v043,h04,23:43:00,03:16:11,ontime,5.99,0,False,4.43,2.5,0
dl00089,o00241,d010,v112,h03,15:27:00,20:28:34,failed,8.27,0,False,2.56,6.94,0
dl00090,o01097,d027,v065,h04,23:21:00,09:00:31,ontime,33.86,3,False,4.76,24.2,0
dl00091,o00941,d116,v044,h04,15:04:00,14:48:31,ontime,14.47,0,False,5.0,10.57,0
dl00092,o00736,d105,v016,h01,00:39:00,10:47:51,ontime,7.66,1,False,4.72,8.17,0
dl00093,o00579,d028,v032,h05,12:14:00,12:49:10,ontime,19.68,3,False,3.69,18.64,0
dl00094,o01026,d034,v012,h04,22:56:00,09:41:42,delayed,4.66,0,False,3.72,16.6,0
dl00095,o00416,d031,v005,h08,23:00:00,21:37:11,ontime,28.69,1,False,5.0,13.48,0
dl00097,o00794,d170,v109,h07,22:51:00,01:52:17,failed,10.54,1,False,3.58,3.56,0
dl00098,o00631,d004,v072,h07,09:16:00,15:47:44,failed,3.86,1,False,4.43,15.58,0
dl00099,o00835,d127,v093,h01,18:57:00,21:53:38,ontime,5.6,2,False,4.75,13.26,0
dl00100,o00205,d120,v097,h05,16:42:00,07:09:53,failed,8.64,0,False,3.14,13.47,0
dl00101,o00354,d141,v115,h06,18:06:00,19:18:47,ontime,21.63,0,False,4.12,14.3,0
dl00102,o00578,d031,v022,h02,09:56:00,13:51:57,delayed,9.18,0,False,3.08,11.31,0
dl00103,o00269,d004,v036,h04,01:20:00,21:58:15,failed,6.26,2,False,2.24,9.31,0
dl00104,o00390,d102,v111,h06,12:50:00,20:08:19,ontime,8.75,0,False,4.45,7.5,0
dl00105,o00596,d020,v043,h01,04:09:00,10:54:51,ontime,18.52,0,False,3.73,20.45,0
dl00106,o00039,d040,v015,h05,08:30:00,12:18:45,ontime,18.02,0,False,4.92,15.57,0
dl00107,o00175,d120,v074,h05,20:22:00,21:26:01,ontime,6.47,1,False,4.69,8.8,0
dl00108,o00620,d084,v009,h06,01:38:00,03:02:54,ontime,13.73,1,False,4.73,17.52,0
dl00109,o00019,d014,v083,h05,09:02:00,12:20:28,ontime,16.7,1,False,3.52,16.91,0
dl00110,o00045,d024,v042,h03,21:24:00,01:15:37,ontime,14.39,1,False,4.74,8.64,0
dl00111,o00105,d081,v090,h06,23:17:00,22:43:25,ontime,18.8,0,False,5.0,20.02,0
dl00112,o00848,d068,v049,h05,14:51:00,20:37:51,ontime,10.88,3,False,3.68,8.03,0
dl00113,o00607,d072,v083,h05,19:15:00,06:58:55,ontime,7.42,0,False,2.94,15.7,0
dl00114,o01196,d074,v114,h02,03:31:00,20:47:55,delayed,16.99,0,False,2.62,19.44,0
dl00115,o01132,d030,v116,h04,01:04:00,01:53:19,ontime,18.75,1,False,4.35,8.08,0
dl00116,o00121,d023,v047,h06,13:45:00,08:06:51,delayed,19.9,0,False,2.92,21.64,0
dl00117,o00559,d080,v119,h06,08:49:00,23:39:56,delayed,11.84,0,True,2.46,17.91,1
dl00118,o00660,d143,v004,h01,01:27:00,16:05:09,failed,11.45,3,False,2.16,8.94,0
dl00119,o01011,d076,v037,h03,07:57:00,14:55:52,failed,32.37,3,False,1.71,25.09,0
dl00120,o00007,d128,v047,h06,22:10:00,07:05:17,delayed,9.07,1,True,3.93,9.76,1
dl00121,o00091,d078,v100,h05,02:36:00,09:52:56,ontime,18.81,0,False,3.92,11.62,0
dl00122,o00434,d122,v092,h01,21:25:00,20:15:00,ontime,29.52,4,False,4.63,10.56,0
dl00123,o00284,d030,v025,h04,13:26:00,09:11:28,ontime,13.45,2,False,4.75,12.86,0
dl00124,o00210,d113,v040,h05,20:07:00,00:02:59,ontime,14.23,2,False,4.78,19.49,0
dl00125,o00472,d021,v109,h05,10:05:00,12:39:44,ontime,14.25,3,False,3.68,12.59,0
dl00126,o00547,d159,v001,h07,14:36:00,19:11:28,delayed,17.68,0,False,2.6,10.92,0
dl00127,o01072,d026,v099,h02,00:19:00,18:08:10,delayed,16.56,2,False,2.12,11.9,0
dl00128,o00868,d089,v099,h07,16:31:00,18:54:46,ontime,9.43,0,False,4.47,10.47,0
dl00129,o00425,d030,v078,h08,08:41:00,12:07:10,ontime,21.27,3,False,5.0,11.59,0
dl00130,o00400,d113,v042,h03,08:41:00,12:30:11,ontime,17.1,0,False,3.87,13.53,0
dl00131,o00890,d037,v096,h07,10:26:00,08:48:04,ontime,16.59,0,False,4.33,3.25,0
dl00132,o00688,d058,v061,h03,08:29:00,16:02:10,ontime,19.79,0,False,4.62,5.66,0
dl00133,o00761,d083,v070,h03,05:33:00,17:33:17,ontime,17.73,1,False,3.29,10.88,0
dl00134,o00334,d135,v071,h03,12:01:00,14:46:57,ontime,13.27,0,False,3.88,7.63,0
dl00135,o00225,d069,v075,h03,04:31:00,01:14:21,failed,10.34,2,False,3.6,9.3,0
dl00136,o00527,d032,v106,h06,06:41:00,11:08:14,ontime,4.06,1,False,4.45,5.7,0
dl00137,o01216,d053,v109,h07,20:12:00,00:36:58,delayed,13.46,2,False,2.72,11.11,0
dl00138,o00705,d019,v071,h04,22:58:00,05:00:03,ontime,11.23,2,False,4.75,15.22,0
dl00139,o01215,d140,v084,h05,03:23:00,12:37:39,ontime,12.23,0,False,3.57,13.59,0
dl00140,o00656,d079,v050,h06,00:27:00,08:59:38,delayed,15.69,0,True,2.23,11.96,1
dl00141,o00021,d166,v094,h04,12:41:00,12:59:34,ontime,10.45,1,False,4.77,7.89,0
dl00142,o00612,d158,v016,h08,20:32:00,00:33:51,ontime,4.04,2,False,3.27,15.78,0
dl00143,o00757,d026,v051,h04,08:56:00,01:28:41,delayed,22.37,0,False,3.64,19.33,0
dl00144,o00170,d016,v016,h06,09:02:00,11:42:51,ontime,25.98,4,False,4.84,27.38,0
dl00145,o00668,d155,v081,h06,00:42:00,05:33:45,ontime,29.37,2,False,3.95,18.72,0
dl00146,o00058,d052,v094,h03,06:56:00,09:52:51,ontime,22.04,0,False,4.37,6.16,0
dl00147,o01116,d123,v017,h06,14:46:00,19:29:47,ontime,1.21,1,False,4.08,14.96,0
dl00148,o00817,d087,v120,h05,09:02:00,11:10:07,ontime,16.75,1,False,4.04,15.84,0
dl00149,o00789,d024,v099,h08,13:03:00,17:56:25,ontime,5.74,2,False,3.83,3.72,0
dl00150,o01164,d083,v042,h07,18:46:00,07:04:10,delayed,10.43,0,False,2.83,10.61,0
dl00151,o00376,d131,v048,h03,09:34:00,19:14:52,ontime,12.77,1,False,4.77,10.12,0
dl00152,o00146,d121,v047,h01,01:22:00,13:11:11,ontime,3.02,0,False,4.71,8.34,0
dl00153,o00893,d115,v007,h01,08:55:00,02:10:16,failed,12.85,1,False,3.96,15.21,0
dl00154,o00071,d018,v110,h08,00:47:00,02:07:26,failed,7.04,1,False,4.2,5.23,0
dl00155,o00061,d048,v052,h02,03:31:00,08:43:58,ontime,24.74,1,False,4.46,18.46,0
dl00156,o01086,d100,v085,h08,21:40:00,10:03:18,delayed,31.74,2,False,2.18,17.62,0
dl00157,o01089,d144,v040,h06,05:27:00,08:03:36,ontime,12.43,2,False,5.0,13.52,0
dl00158,o00643,d031,v072,h08,19:05:00,00:26:34,delayed,29.34,3,False,3.8,15.45,0
dl00159,o00213,d120,v020,h05,20:07:00,08:13:18,ontime,11.73,0,False,5.0,21.25,0
dl00160,o00874,d108,v085,h04,16:06:00,21:00:31,ontime,16.67,1,False,5.0,9.13,0
dl00161,o00624,d055,v098,h01,04:37:00,05:10:40,ontime,16.98,0,False,4.28,11.8,0
dl00162,o00854,d122,v071,h02,04:30:00,10:10:41,ontime,25.94,0,False,4.84,11.4,0
dl00163,o01007,d121,v056,h07,08:50:00,09:30:25,delayed,9.31,0,False,2.51,8.76,0
dl00164,o00066,d045,v120,h03,11:36:00,14:46:30,ontime,17.31,0,False,3.9,17.53,0
dl00165,o00852,d006,v022,h03,18:06:00,04:22:13,delayed,8.64,0,True,4.55,2.5,1
dl00166,o00904,d091,v017,h04,20:26:00,10:51:28,failed,24.07,0,False,2.08,13.51,0
dl00167,o00932,d116,v069,h08,07:37:00,19:14:50,failed,19.44,0,False,2.56,13.3,0
dl00168,o00126,d100,v066,h01,09:29:00,03:28:20,delayed,30.51,2,False,4.3,18.34,0
dl00169,o00996,d037,v115,h07,07:29:00,07:46:10,ontime,10.5,2,False,4.08,10.38,0
dl00170,o00363,d020,v093,h04,03:57:00,05:40:45,ontime,10.59,0,False,4.07,10.74,0
dl00171,o01055,d096,v085,h07,19:47:00,23:52:05,ontime,23.42,1,False,4.35,13.6,0
dl00172,o00127,d132,v106,h06,04:29:00,16:24:08,delayed,13.58,2,True,4.36,11.2,1
dl00173,o00459,d131,v026,h08,08:52:00,15:17:47,delayed,15.37,0,False,3.88,6.1,0
dl00174,o00162,d020,v066,h07,04:21:00,14:45:39,ontime,9.9,2,False,4.18,9.86,0
dl00175,o00583,d036,v118,h03,21:40:00,00:57:45,ontime,15.62,1,False,3.93,9.26,0
dl00176,o01200,d061,v116,h05,08:31:00,13:20:44,ontime,16.02,0,False,4.36,16.67,0
dl00177,o00164,d123,v045,h01,14:11:00,11:34:32,ontime,8.31,0,False,4.85,9.58,0
dl00178,o01166,d024,v052,h05,12:46:00,22:06:17,failed,13.01,2,True,3.36,6.79,1
dl00179,o00493,d016,v094,h08,04:07:00,19:35:01,delayed,9.15,1,False,2.32,12.14,0
dl00180,o00137,d135,v054,h08,19:37:00,06:15:52,ontime,19.65,0,False,4.25,14.94,0
dl00181,o00450,d073,v014,h02,23:47:00,23:58:42,ontime,12.74,1,False,5.0,14.37,0
dl00182,o00096,d071,v102,h04,18:06:00,18:46:16,ontime,7.62,0,False,4.64,14.41,0
dl00183,o00808,d049,v065,h05,07:26:00,12:08:53,ontime,15.14,0,False,4.23,13.23,0
dl00184,o01005,d023,v096,h07,19:42:00,02:37:43,failed,13.78,0,False,2.96,13.86,0
dl00185,o01217,d008,v065,h01,00:13:00,11:26:56,ontime,15.39,3,False,4.76,13.61,0
dl00186,o00798,d006,v081,h06,04:23:00,07:07:14,ontime,14.26,1,False,4.91,4.79,0
dl00187,o00439,d111,v069,h05,22:08:00,15:17:27,failed,17.61,1,False,1.53,16.92,0
dl00188,o00739,d008,v075,h08,23:14:00,09:05:27,ontime,5.37,0,False,5.0,5.73,0
dl00189,o01227,d011,v118,h06,11:52:00,18:23:23,failed,14.51,1,False,2.43,12.83,0
dl00190,o00875,d039,v003,h07,23:21:00,08:44:27,ontime,2.25,0,False,4.79,7.74,0
dl00191,o00755,d161,v006,h08,05:02:00,12:04:57,ontime,13.55,0,False,3.48,21.6,0
dl00192,o00118,d095,v112,h04,22:16:00,03:23:10,ontime,14.13,0,False,4.64,16.49,0
dl00193,o00032,d017,v013,h08,00:28:00,23:38:00,ontime,14.01,4,False,3.54,9.08,0
dl00194,o00422,d053,v110,h01,09:57:00,22:44:40,delayed,8.77,2,False,2.58,9.97,0
dl00195,o00462,d162,v028,h06,20:56:00,07:39:20,delayed,13.0,1,False,1.04,10.71,0
dl00196,o00469,d111,v009,h08,00:27:00,00:29:59,ontime,13.83,1,False,3.85,12.41,0
dl00197,o00478,d163,v053,h02,00:07:00,01:03:50,ontime,11.17,0,False,5.0,2.84,0
dl00198,o00465,d156,v111,h04,07:33:00,12:46:07,delayed,8.01,0,False,3.38,10.98,0
dl00199,o00821,d086,v088,h05,03:15:00,08:28:34,ontime,24.31,1,False,4.36,18.49,0
dl00200,o00406,d160,v106,h06,13:23:00,14:10:14,ontime,31.46,2,False,4.38,16.38,0
dl00201,o00008,d036,v041,h03,20:22:00,20:46:56,ontime,14.08,0,False,5.0,12.87,0
dl00202,o01057,d028,v054,h06,12:38:00,18:02:58,delayed,19.31,2,False,3.67,17.41,0
dl00203,o00901,d107,v086,h08,09:18:00,16:36:10,delayed,9.36,2,False,4.52,7.69,0
dl00204,o00025,d108,v062,h08,22:15:00,05:19:27,ontime,11.32,1,False,4.64,15.67,0
dl00205,o00375,d039,v024,h03,23:26:00,02:13:34,ontime,7.16,3,False,4.17,12.58,0
dl00206,o00634,d045,v107,h02,14:19:00,17:45:48,ontime,17.47,1,False,4.49,15.56,0
dl00207,o01035,d121,v114,h04,00:24:00,06:31:20,ontime,18.52,1,False,4.4,11.28,0
dl00208,o00964,d087,v018,h01,03:27:00,22:30:31,failed,21.73,0,True,3.09,13.36,1
dl00210,o01191,d142,v016,h02,19:24:00,23:40:57,delayed,16.24,3,False,3.43,13.43,0
dl00211,o01017,d102,v006,h08,15:47:00,19:01:17,ontime,12.39,1,False,4.57,13.18,0
dl00212,o01105,d142,v041,h01,18:46:00,18:15:30,delayed,13.85,1,True,4.29,11.45,1
dl00213,o00807,d025,v073,h02,07:59:00,10:10:20,ontime,8.57,0,False,4.33,10.42,0
dl00214,o00552,d096,v010,h04,03:20:00,06:33:06,ontime,6.09,0,False,3.02,7.3,0
dl00215,o01042,d100,v102,h06,13:15:00,08:07:20,delayed,22.0,1,False,4.79,19.64,0
dl00216,o00167,d146,v019,h07,21:19:00,19:51:43,ontime,30.01,0,False,3.37,18.54,0
dl00217,o01194,d020,v030,h01,01:50:00,01:09:07,ontime,22.61,1,False,4.41,12.17,0
dl00218,o00136,d149,v010,h03,17:12:00,22:54:50,delayed,3.51,1,False,3.27,4.15,0
dl00219,o00513,d087,v118,h07,05:33:00,09:00:38,ontime,14.41,1,False,4.59,12.65,0
dl00220,o00859,d079,v107,h08,03:17:00,07:59:50,ontime,33.71,4,False,5.0,13.79,0
dl00221,o00594,d151,v092,h02,21:43:00,22:58:44,ontime,12.09,3,False,3.25,11.03,0
dl00222,o01010,d121,v045,h06,21:01:00,23:50:57,ontime,9.72,0,False,5.0,8.53,0
dl00223,o00740,d155,v085,h08,15:11:00,20:28:55,delayed,12.99,0,False,3.19,12.3,0
dl00224,o00960,d034,v040,h07,03:14:00,03:27:00,ontime,11.88,0,False,3.79,14.2,0
dl00225,o00056,d150,v044,h05,20:44:00,00:53:02,ontime,6.21,2,False,3.98,14.94,0
dl00226,o00823,d119,v030,h06,21:33:00,09:56:15,delayed,9.28,0,False,2.17,10.29,0
dl00227,o01138,d083,v114,h04,18:51:00,20:38:03,ontime,16.490000000000002,2,False,4.65,13.68,0
dl00228,o01094,d052,v085,h04,11:22:00,10:34:20,ontime,6.68,2,False,4.05,11.59,0
dl00229,o00518,d050,v036,h02,02:26:00,13:40:02,ontime,14.89,0,False,3.97,13.89,0
dl00230,o00303,d055,v037,h06,05:41:00,00:56:58,failed,14.85,1,False,2.34,13.21,0
dl00231,o00670,d014,v046,h05,23:40:00,02:54:39,ontime,13.07,0,False,4.72,3.86,0
dl00232,o00397,d050,v101,h06,19:47:00,09:18:18,ontime,29.8,1,False,3.71,14.58,0
dl00233,o01173,d094,v020,h04,11:24:00,17:48:05,ontime,5.36,0,False,4.5,11.41,0
dl00234,o00340,d056,v028,h01,03:37:00,06:18:46,ontime,13.52,1,False,2.88,6.77,0
dl00235,o00507,d022,v109,h05,06:42:00,03:05:08,failed,18.87,0,False,3.68,19.15,0
dl00236,o00013,d163,v009,h07,22:48:00,20:39:02,ontime,20.12,2,False,3.74,17.02,0
dl00237,o00082,d135,v099,h06,05:49:00,15:01:15,ontime,12.83,1,False,3.62,20.26,0
dl00238,o00979,d146,v077,h04,05:27:00,15:41:00,ontime,14.2,2,False,4.02,13.01,0
dl00239,o00052,d019,v010,h06,09:02:00,01:09:18,delayed,13.6,1,False,3.72,16.0,0
dl00240,o01169,d131,v070,h06,15:56:00,02:10:49,failed,38.25,1,False,3.34,21.21,0
dl00241,o00187,d155,v084,h07,18:28:00,04:43:09,ontime,10.78,0,False,5.0,15.96,0
dl00242,o00119,d137,v108,h07,22:51:00,08:01:37,delayed,4.26,2,False,1.93,17.11,0
dl00243,o00544,d099,v079,h04,20:33:00,20:11:53,ontime,14.39,1,False,4.52,10.27,0
dl00244,o00610,d024,v077,h03,19:36:00,17:48:27,ontime,6.55,0,False,4.87,10.1,0
dl00245,o01206,d047,v061,h01,00:30:00,03:42:19,ontime,16.57,1,False,4.28,17.58,0
dl00246,o00603,d016,v061,h05,01:31:00,21:51:52,ontime,20.51,0,False,4.05,12.98,0
dl00248,o00799,d099,v047,h02,18:02:00,17:33:16,ontime,7.06,1,False,5.0,13.65,0
dl00249,o00770,d139,v107,h06,09:45:00,17:43:30,delayed,15.28,0,True,3.02,15.91,1
dl00250,o00977,d092,v067,h03,17:43:00,19:38:27,ontime,6.39,0,False,4.03,7.45,0
dl00251,o00122,d005,v030,h06,16:00:00,06:46:03,failed,14.27,0,False,3.89,16.33,0
dl00252,o00713,d109,v001,h05,01:06:00,05:10:04,ontime,11.34,0,False,4.06,10.82,0
dl00253,o00325,d126,v033,h08,05:43:00,07:09:22,ontime,5.12,1,False,4.24,9.16,0
dl00254,o00933,d053,v084,h05,13:26:00,18:18:06,ontime,11.34,1,False,4.09,12.33,0
dl00255,o00908,d154,v032,h06,02:14:00,12:52:13,delayed,28.05,3,False,3.35,18.76,0
dl00256,o00389,d105,v088,h01,12:35:00,19:44:37,delayed,8.17,1,False,3.16,14.91,0
dl00257,o00103,d034,v038,h02,14:25:00,12:53:16,delayed,15.88,1,False,3.54,14.05,0
dl00258,o01230,d003,v093,h02,21:11:00,03:52:09,delayed,15.09,2,False,3.74,8.22,0
dl00259,o00266,d120,v096,h06,19:45:00,01:21:38,delayed,16.86,1,False,1.0,19.95,0
dl00260,o00152,d001,v114,h04,19:25:00,16:41:43,ontime,21.6,0,False,3.32,17.16,0
dl00261,o00445,d051,v079,h02,01:20:00,11:53:50,failed,10.73,1,True,3.18,9.58,1
dl00262,o00762,d134,v038,h08,22:31:00,23:27:49,ontime,5.51,0,False,4.14,10.11,0
dl00263,o01006,d048,v098,h01,14:58:00,04:56:17,delayed,15.66,1,False,2.55,9.31,0
dl00264,o00802,d073,v067,h08,07:30:00,08:17:05,ontime,11.61,0,False,4.33,11.38,0
dl00265,o00253,d119,v054,h03,11:02:00,13:40:12,ontime,14.43,0,False,4.54,15.01,0
dl00267,o00665,d090,v015,h08,14:27:00,16:12:15,ontime,7.98,1,False,4.96,8.83,0
dl00269,o00131,d085,v052,h06,23:38:00,10:09:10,delayed,16.05,1,False,1.96,13.91,0
dl00270,o00764,d104,v023,h08,11:50:00,02:05:57,failed,5.37,1,False,4.29,12.93,0
dl00271,o00193,d036,v017,h06,16:51:00,01:31:56,delayed,9.24,2,False,4.25,2.78,0
dl00272,o00494,d132,v028,h05,15:53:00,15:52:14,ontime,21.67,1,False,4.27,20.58,0
dl00273,o00492,d071,v049,h01,03:34:00,06:45:29,ontime,9.75,0,False,2.95,14.1,0
